 0.2000000E-02 -0.1628474E-02 -0.1195758E-02 -0.7554133E-03 -0.2777664E-03  0.2653177E-03  0.8888598E-03  0.1549623E-02  0.2103944E-02  0.2367476E-02  0.2458443E-02
 0.4000000E-02 -0.3256842E-02 -0.2391448E-02 -0.1510779E-02 -0.5554965E-03  0.5306687E-03  0.1777753E-02  0.3099266E-02  0.4207857E-02  0.4734831E-02  0.4916575E-02
 0.6000000E-02 -0.4885094E-02 -0.3587066E-02 -0.2266096E-02 -0.8331892E-03  0.7960547E-03  0.2666684E-02  0.4648938E-02  0.6311748E-02  0.7102072E-02  0.7374351E-02
 0.8000000E-02 -0.6513221E-02 -0.4782612E-02 -0.3021362E-02 -0.1110844E-02  0.1061477E-02  0.3555657E-02  0.6198649E-02  0.8415631E-02  0.9469202E-02  0.9831729E-02
 0.1000000E-01 -0.8141216E-02 -0.5978080E-02 -0.3776577E-02 -0.1388459E-02  0.1326938E-02  0.4444676E-02  0.7748407E-02  0.1051952E-01  0.1183623E-01  0.1228866E-01
 0.1200000E-01 -0.9769069E-02 -0.7173470E-02 -0.4531739E-02 -0.1666033E-02  0.1592438E-02  0.5333744E-02  0.9298222E-02  0.1262341E-01  0.1420315E-01  0.1474511E-01
 0.1400000E-01 -0.1139677E-01 -0.8368779E-02 -0.5286847E-02 -0.1943567E-02  0.1857980E-02  0.6222867E-02  0.1084810E-01  0.1472734E-01  0.1656998E-01  0.1720103E-01
 0.1600000E-01 -0.1302432E-01 -0.9564003E-02 -0.6041899E-02 -0.2221058E-02  0.2123565E-02  0.7112048E-02  0.1239806E-01  0.1683130E-01  0.1893671E-01  0.1965638E-01
 0.1800000E-01 -0.1465169E-01 -0.1075914E-01 -0.6796894E-02 -0.2498506E-02  0.2389194E-02  0.8001292E-02  0.1394810E-01  0.1893530E-01  0.2130336E-01  0.2211111E-01
 0.2000000E-01 -0.1627889E-01 -0.1195419E-01 -0.7551831E-02 -0.2775910E-02  0.2654869E-02  0.8890601E-02  0.1549823E-01  0.2103937E-01  0.2366993E-01  0.2456517E-01
 0.2200000E-01 -0.1790591E-01 -0.1314915E-01 -0.8306708E-02 -0.3053268E-02  0.2920593E-02  0.9779982E-02  0.1704846E-01  0.2314351E-01  0.2603642E-01  0.2701853E-01
 0.2400000E-01 -0.1953273E-01 -0.1434401E-01 -0.9061523E-02 -0.3330581E-02  0.3186365E-02  0.1066944E-01  0.1859880E-01  0.2524773E-01  0.2840284E-01  0.2947114E-01
 0.2600000E-01 -0.2115935E-01 -0.1553877E-01 -0.9816276E-02 -0.3607846E-02  0.3452189E-02  0.1155897E-01  0.2014927E-01  0.2735204E-01  0.3076918E-01  0.3192296E-01
 0.2800000E-01 -0.2278576E-01 -0.1673344E-01 -0.1057097E-01 -0.3885063E-02  0.3718065E-02  0.1244859E-01  0.2169986E-01  0.2945645E-01  0.3313547E-01  0.3437394E-01
 0.3000000E-01 -0.2441195E-01 -0.1792800E-01 -0.1132559E-01 -0.4162230E-02  0.3983996E-02  0.1333829E-01  0.2325059E-01  0.3156099E-01  0.3550169E-01  0.3682404E-01
 0.3200000E-01 -0.2603792E-01 -0.1912246E-01 -0.1208015E-01 -0.4439347E-02  0.4249982E-02  0.1422809E-01  0.2480147E-01  0.3366565E-01  0.3786786E-01  0.3927321E-01
 0.3400000E-01 -0.2766364E-01 -0.2031681E-01 -0.1283464E-01 -0.4716413E-02  0.4516026E-02  0.1511798E-01  0.2635250E-01  0.3577044E-01  0.4023397E-01  0.4172141E-01
 0.3600000E-01 -0.2928913E-01 -0.2151104E-01 -0.1358906E-01 -0.4993427E-02  0.4782130E-02  0.1600796E-01  0.2790370E-01  0.3787539E-01  0.4260004E-01  0.4416859E-01
 0.3800000E-01 -0.3091436E-01 -0.2270517E-01 -0.1434341E-01 -0.5270387E-02  0.5048294E-02  0.1689806E-01  0.2945508E-01  0.3998050E-01  0.4496607E-01  0.4661472E-01
 0.4000000E-01 -0.3253934E-01 -0.2389918E-01 -0.1509768E-01 -0.5547293E-02  0.5314520E-02  0.1778826E-01  0.3100664E-01  0.4208578E-01  0.4733206E-01  0.4905973E-01
 0.4200000E-01 -0.3416404E-01 -0.2509307E-01 -0.1585189E-01 -0.5824143E-02  0.5580811E-02  0.1867857E-01  0.3255838E-01  0.4419124E-01  0.4969801E-01  0.5150359E-01
 0.4400000E-01 -0.3578847E-01 -0.2628684E-01 -0.1660601E-01 -0.6100936E-02  0.5847168E-02  0.1956900E-01  0.3411034E-01  0.4629690E-01  0.5206394E-01  0.5394626E-01
 0.4600000E-01 -0.3741261E-01 -0.2748049E-01 -0.1736006E-01 -0.6377672E-02  0.6113592E-02  0.2045955E-01  0.3566250E-01  0.4840276E-01  0.5442984E-01  0.5638768E-01
 0.4800000E-01 -0.3903646E-01 -0.2867401E-01 -0.1811404E-01 -0.6654349E-02  0.6380086E-02  0.2135022E-01  0.3721488E-01  0.5050884E-01  0.5679571E-01  0.5882782E-01
 0.5000000E-01 -0.4066001E-01 -0.2986740E-01 -0.1886793E-01 -0.6930966E-02  0.6646650E-02  0.2224102E-01  0.3876749E-01  0.5261515E-01  0.5916157E-01  0.6126661E-01
 0.5200000E-01 -0.4228326E-01 -0.3106067E-01 -0.1962174E-01 -0.7207522E-02  0.6913288E-02  0.2313196E-01  0.4032033E-01  0.5472170E-01  0.6152741E-01  0.6370403E-01
 0.5400000E-01 -0.4390618E-01 -0.3225379E-01 -0.2037547E-01 -0.7484015E-02  0.7179999E-02  0.2402303E-01  0.4187343E-01  0.5682850E-01  0.6389325E-01  0.6614002E-01
 0.5600000E-01 -0.4552879E-01 -0.3344678E-01 -0.2112912E-01 -0.7760446E-02  0.7446787E-02  0.2491424E-01  0.4342678E-01  0.5893557E-01  0.6625907E-01  0.6857453E-01
 0.5800000E-01 -0.4715106E-01 -0.3463963E-01 -0.2188268E-01 -0.8036812E-02  0.7713653E-02  0.2580560E-01  0.4498039E-01  0.6104290E-01  0.6862489E-01  0.7100752E-01
 0.6000000E-01 -0.4877299E-01 -0.3583234E-01 -0.2263616E-01 -0.8313112E-02  0.7980598E-02  0.2669710E-01  0.4653428E-01  0.6315052E-01  0.7099072E-01  0.7343894E-01
 0.6200000E-01 -0.5039458E-01 -0.3702490E-01 -0.2338954E-01 -0.8589345E-02  0.8247625E-02  0.2758876E-01  0.4808845E-01  0.6525843E-01  0.7335654E-01  0.7586875E-01
 0.6400000E-01 -0.5201581E-01 -0.3821732E-01 -0.2414284E-01 -0.8865510E-02  0.8514735E-02  0.2848058E-01  0.4964291E-01  0.6736665E-01  0.7572238E-01  0.7829689E-01
 0.6600000E-01 -0.5363668E-01 -0.3940959E-01 -0.2489604E-01 -0.9141607E-02  0.8781930E-02  0.2937256E-01  0.5119768E-01  0.6947519E-01  0.7808822E-01  0.8072331E-01
 0.6800000E-01 -0.5525719E-01 -0.4060170E-01 -0.2564915E-01 -0.9417632E-02  0.9049212E-02  0.3026470E-01  0.5275275E-01  0.7158406E-01  0.8045408E-01  0.8314797E-01
 0.7000000E-01 -0.5687731E-01 -0.4179366E-01 -0.2640217E-01 -0.9693586E-02  0.9316583E-02  0.3115702E-01  0.5430815E-01  0.7369327E-01  0.8281995E-01  0.8557083E-01
 0.7200000E-01 -0.5849706E-01 -0.4298546E-01 -0.2715509E-01 -0.9969466E-02  0.9584044E-02  0.3204951E-01  0.5586387E-01  0.7580282E-01  0.8518585E-01  0.8799182E-01
 0.7400000E-01 -0.6011642E-01 -0.4417709E-01 -0.2790791E-01 -0.1024527E-01  0.9851597E-02  0.3294218E-01  0.5741993E-01  0.7791274E-01  0.8755177E-01  0.9041091E-01
 0.7600000E-01 -0.6173538E-01 -0.4536857E-01 -0.2866063E-01 -0.1052100E-01  0.1011924E-01  0.3383503E-01  0.5897633E-01  0.8002303E-01  0.8991771E-01  0.9282803E-01
 0.7800000E-01 -0.6335394E-01 -0.4655988E-01 -0.2941325E-01 -0.1079666E-01  0.1038699E-01  0.3472807E-01  0.6053309E-01  0.8213371E-01  0.9228368E-01  0.9524315E-01
 0.8000000E-01 -0.6497209E-01 -0.4775102E-01 -0.3016577E-01 -0.1107223E-01  0.1065483E-01  0.3562130E-01  0.6209022E-01  0.8424478E-01  0.9464969E-01  0.9765621E-01
 0.8200000E-01 -0.6658982E-01 -0.4894199E-01 -0.3091819E-01 -0.1134773E-01  0.1092277E-01  0.3651473E-01  0.6364772E-01  0.8635625E-01  0.9701572E-01  0.1000672E+00
 0.8400000E-01 -0.6820713E-01 -0.5013278E-01 -0.3167049E-01 -0.1162314E-01  0.1119081E-01  0.3740835E-01  0.6520560E-01  0.8846814E-01  0.9938180E-01  0.1024759E+00
 0.8600000E-01 -0.6982401E-01 -0.5132340E-01 -0.3242269E-01 -0.1189848E-01  0.1145896E-01  0.3830218E-01  0.6676388E-01  0.9058046E-01  0.1017479E+00  0.1048825E+00
 0.8800000E-01 -0.7144046E-01 -0.5251383E-01 -0.3317478E-01 -0.1217372E-01  0.1172721E-01  0.3919622E-01  0.6832255E-01  0.9269322E-01  0.1041141E+00  0.1072868E+00
 0.9000000E-01 -0.7305646E-01 -0.5370409E-01 -0.3392676E-01 -0.1244889E-01  0.1199558E-01  0.4009048E-01  0.6988164E-01  0.9480643E-01  0.1064803E+00  0.1096888E+00
 0.9200000E-01 -0.7467202E-01 -0.5489416E-01 -0.3467863E-01 -0.1272396E-01  0.1226405E-01  0.4098495E-01  0.7144114E-01  0.9692009E-01  0.1088465E+00  0.1120884E+00
 0.9400000E-01 -0.7628712E-01 -0.5608404E-01 -0.3543038E-01 -0.1299895E-01  0.1253263E-01  0.4187964E-01  0.7300107E-01  0.9903423E-01  0.1112128E+00  0.1144856E+00
 0.9600000E-01 -0.7790177E-01 -0.5727373E-01 -0.3618202E-01 -0.1327385E-01  0.1280132E-01  0.4277456E-01  0.7456144E-01  0.1011488E+00  0.1135791E+00  0.1168804E+00
 0.9800000E-01 -0.7951595E-01 -0.5846323E-01 -0.3693353E-01 -0.1354866E-01  0.1307013E-01  0.4366970E-01  0.7612226E-01  0.1032640E+00  0.1159455E+00  0.1192726E+00
 0.1000000E+00 -0.8112966E-01 -0.5965253E-01 -0.3768493E-01 -0.1382337E-01  0.1333906E-01  0.4456508E-01  0.7768353E-01  0.1053796E+00  0.1183119E+00  0.1216622E+00
 0.1020000E+00 -0.8274290E-01 -0.6084164E-01 -0.3843620E-01 -0.1409799E-01  0.1360811E-01  0.4546070E-01  0.7924526E-01  0.1074957E+00  0.1206784E+00  0.1240492E+00
 0.1040000E+00 -0.8435565E-01 -0.6203054E-01 -0.3918735E-01 -0.1437251E-01  0.1387728E-01  0.4635657E-01  0.8080747E-01  0.1096124E+00  0.1230450E+00  0.1264334E+00
 0.1060000E+00 -0.8596792E-01 -0.6321924E-01 -0.3993838E-01 -0.1464694E-01  0.1414658E-01  0.4725268E-01  0.8237016E-01  0.1117295E+00  0.1254116E+00  0.1288150E+00
 0.1080000E+00 -0.8757969E-01 -0.6440773E-01 -0.4068927E-01 -0.1492126E-01  0.1441600E-01  0.4814904E-01  0.8393334E-01  0.1138473E+00  0.1277782E+00  0.1311937E+00
 0.1100000E+00 -0.8919097E-01 -0.6559601E-01 -0.4144004E-01 -0.1519549E-01  0.1468555E-01  0.4904566E-01  0.8549702E-01  0.1159656E+00  0.1301450E+00  0.1335696E+00
 0.1120000E+00 -0.9080175E-01 -0.6678408E-01 -0.4219067E-01 -0.1546961E-01  0.1495523E-01  0.4994254E-01  0.8706121E-01  0.1180844E+00  0.1325117E+00  0.1359426E+00
 0.1140000E+00 -0.9241202E-01 -0.6797193E-01 -0.4294118E-01 -0.1574363E-01  0.1522505E-01  0.5083968E-01  0.8862592E-01  0.1202038E+00  0.1348786E+00  0.1383125E+00
 0.1160000E+00 -0.9402178E-01 -0.6915956E-01 -0.4369154E-01 -0.1601754E-01  0.1549500E-01  0.5173710E-01  0.9019116E-01  0.1223239E+00  0.1372455E+00  0.1406795E+00
 0.1180000E+00 -0.9563103E-01 -0.7034698E-01 -0.4444177E-01 -0.1629135E-01  0.1576508E-01  0.5263478E-01  0.9175693E-01  0.1244445E+00  0.1396124E+00  0.1430434E+00
 0.1200000E+00 -0.9723975E-01 -0.7153416E-01 -0.4519186E-01 -0.1656504E-01  0.1603531E-01  0.5353275E-01  0.9332325E-01  0.1265657E+00  0.1419794E+00  0.1454041E+00
 0.1220000E+00 -0.9884796E-01 -0.7272113E-01 -0.4594180E-01 -0.1683862E-01  0.1630568E-01  0.5443099E-01  0.9489013E-01  0.1286875E+00  0.1443465E+00  0.1477616E+00
 0.1240000E+00 -0.1004556E+00 -0.7390786E-01 -0.4669161E-01 -0.1711209E-01  0.1657619E-01  0.5532953E-01  0.9645756E-01  0.1308100E+00  0.1467136E+00  0.1501159E+00
 0.1260000E+00 -0.1020628E+00 -0.7509436E-01 -0.4744126E-01 -0.1738544E-01  0.1684685E-01  0.5622835E-01  0.9802557E-01  0.1329331E+00  0.1490808E+00  0.1524668E+00
 0.1280000E+00 -0.1036694E+00 -0.7628063E-01 -0.4819077E-01 -0.1765868E-01  0.1711766E-01  0.5712747E-01  0.9959416E-01  0.1350569E+00  0.1514481E+00  0.1548143E+00
 0.1300000E+00 -0.1052754E+00 -0.7746666E-01 -0.4894013E-01 -0.1793180E-01  0.1738862E-01  0.5802689E-01  0.1011633E+00  0.1371813E+00  0.1538154E+00  0.1571584E+00
 0.1320000E+00 -0.1068810E+00 -0.7865244E-01 -0.4968933E-01 -0.1820479E-01  0.1765973E-01  0.5892662E-01  0.1027331E+00  0.1393064E+00  0.1561827E+00  0.1594990E+00
 0.1340000E+00 -0.1084859E+00 -0.7983799E-01 -0.5043838E-01 -0.1847766E-01  0.1793100E-01  0.5982665E-01  0.1043035E+00  0.1414321E+00  0.1585501E+00  0.1618361E+00
 0.1360000E+00 -0.1100904E+00 -0.8102328E-01 -0.5118728E-01 -0.1875041E-01  0.1820242E-01  0.6072700E-01  0.1058745E+00  0.1435586E+00  0.1609176E+00  0.1641695E+00
 0.1380000E+00 -0.1116942E+00 -0.8220833E-01 -0.5193601E-01 -0.1902303E-01  0.1847401E-01  0.6162766E-01  0.1074461E+00  0.1456857E+00  0.1632851E+00  0.1664992E+00
 0.1400000E+00 -0.1132975E+00 -0.8339312E-01 -0.5268458E-01 -0.1929551E-01  0.1874576E-01  0.6252865E-01  0.1090184E+00  0.1478136E+00  0.1656527E+00  0.1688251E+00
 0.1420000E+00 -0.1149003E+00 -0.8457766E-01 -0.5343299E-01 -0.1956787E-01  0.1901768E-01  0.6342996E-01  0.1105913E+00  0.1499422E+00  0.1680203E+00  0.1711473E+00
 0.1440000E+00 -0.1165025E+00 -0.8576194E-01 -0.5418123E-01 -0.1984009E-01  0.1928977E-01  0.6433160E-01  0.1121649E+00  0.1520715E+00  0.1703879E+00  0.1734656E+00
 0.1460000E+00 -0.1181041E+00 -0.8694596E-01 -0.5492930E-01 -0.2011218E-01  0.1956202E-01  0.6523358E-01  0.1137391E+00  0.1542015E+00  0.1727556E+00  0.1757799E+00
 0.1480000E+00 -0.1197052E+00 -0.8812972E-01 -0.5567720E-01 -0.2038413E-01  0.1983445E-01  0.6613590E-01  0.1153140E+00  0.1563323E+00  0.1751234E+00  0.1780902E+00
 0.1500000E+00 -0.1213056E+00 -0.8931320E-01 -0.5642493E-01 -0.2065593E-01  0.2010706E-01  0.6703856E-01  0.1168896E+00  0.1584638E+00  0.1774911E+00  0.1803964E+00
 0.1520000E+00 -0.1229056E+00 -0.9049642E-01 -0.5717248E-01 -0.2092760E-01  0.2037985E-01  0.6794157E-01  0.1184658E+00  0.1605962E+00  0.1798590E+00  0.1826986E+00
 0.1540000E+00 -0.1245049E+00 -0.9167937E-01 -0.5791985E-01 -0.2119912E-01  0.2065281E-01  0.6884493E-01  0.1200428E+00  0.1627292E+00  0.1822268E+00  0.1849965E+00
 0.1560000E+00 -0.1261036E+00 -0.9286203E-01 -0.5866705E-01 -0.2147049E-01  0.2092596E-01  0.6974865E-01  0.1216204E+00  0.1648631E+00  0.1845947E+00  0.1872901E+00
 0.1580000E+00 -0.1277018E+00 -0.9404442E-01 -0.5941405E-01 -0.2174171E-01  0.2119930E-01  0.7065273E-01  0.1231988E+00  0.1669978E+00  0.1869626E+00  0.1895794E+00
 0.1600000E+00 -0.1292994E+00 -0.9522653E-01 -0.6016087E-01 -0.2201277E-01  0.2147283E-01  0.7155718E-01  0.1247779E+00  0.1691332E+00  0.1893305E+00  0.1918643E+00
 0.1620000E+00 -0.1308964E+00 -0.9640835E-01 -0.6090750E-01 -0.2228369E-01  0.2174655E-01  0.7246200E-01  0.1263577E+00  0.1712695E+00  0.1916984E+00  0.1941447E+00
 0.1640000E+00 -0.1324928E+00 -0.9758988E-01 -0.6165394E-01 -0.2255444E-01  0.2202046E-01  0.7336719E-01  0.1279383E+00  0.1734066E+00  0.1940664E+00  0.1964206E+00
 0.1660000E+00 -0.1340887E+00 -0.9877112E-01 -0.6240018E-01 -0.2282503E-01  0.2229457E-01  0.7427276E-01  0.1295196E+00  0.1755445E+00  0.1964343E+00  0.1986919E+00
 0.1680000E+00 -0.1356839E+00 -0.9995206E-01 -0.6314623E-01 -0.2309546E-01  0.2256889E-01  0.7517872E-01  0.1311016E+00  0.1776833E+00  0.1988023E+00  0.2009585E+00
 0.1700000E+00 -0.1372786E+00 -0.1011327E+00 -0.6389208E-01 -0.2336573E-01  0.2284340E-01  0.7608506E-01  0.1326845E+00  0.1798229E+00  0.2011702E+00  0.2032204E+00
 0.1720000E+00 -0.1388726E+00 -0.1023131E+00 -0.6463772E-01 -0.2363583E-01  0.2311812E-01  0.7699179E-01  0.1342681E+00  0.1819634E+00  0.2035381E+00  0.2054775E+00
 0.1740000E+00 -0.1404661E+00 -0.1034931E+00 -0.6538316E-01 -0.2390575E-01  0.2339306E-01  0.7789893E-01  0.1358525E+00  0.1841047E+00  0.2059061E+00  0.2077297E+00
 0.1760000E+00 -0.1420590E+00 -0.1046728E+00 -0.6612838E-01 -0.2417550E-01  0.2366820E-01  0.7880646E-01  0.1374376E+00  0.1862469E+00  0.2082740E+00  0.2099769E+00
 0.1780000E+00 -0.1436513E+00 -0.1058523E+00 -0.6687340E-01 -0.2444508E-01  0.2394356E-01  0.7971439E-01  0.1390236E+00  0.1883900E+00  0.2106418E+00  0.2122191E+00
 0.1800000E+00 -0.1452429E+00 -0.1070314E+00 -0.6761820E-01 -0.2471447E-01  0.2421913E-01  0.8062274E-01  0.1406104E+00  0.1905340E+00  0.2130097E+00  0.2144563E+00
 0.1820000E+00 -0.1468340E+00 -0.1082102E+00 -0.6836278E-01 -0.2498369E-01  0.2449493E-01  0.8153150E-01  0.1421980E+00  0.1926789E+00  0.2153775E+00  0.2166882E+00
 0.1840000E+00 -0.1484245E+00 -0.1093886E+00 -0.6910714E-01 -0.2525272E-01  0.2477094E-01  0.8244068E-01  0.1437864E+00  0.1948246E+00  0.2177452E+00  0.2189150E+00
 0.1860000E+00 -0.1500144E+00 -0.1105668E+00 -0.6985128E-01 -0.2552156E-01  0.2504719E-01  0.8335028E-01  0.1453756E+00  0.1969713E+00  0.2201129E+00  0.2211364E+00
 0.1880000E+00 -0.1516037E+00 -0.1117446E+00 -0.7059519E-01 -0.2579020E-01  0.2532366E-01  0.8426030E-01  0.1469657E+00  0.1991189E+00  0.2224805E+00  0.2233524E+00
 0.1900000E+00 -0.1531924E+00 -0.1129221E+00 -0.7133887E-01 -0.2605866E-01  0.2560037E-01  0.8517076E-01  0.1485567E+00  0.2012675E+00  0.2248481E+00  0.2255630E+00
 0.1920000E+00 -0.1547804E+00 -0.1140992E+00 -0.7208231E-01 -0.2632691E-01  0.2587731E-01  0.8608165E-01  0.1501484E+00  0.2034169E+00  0.2272155E+00  0.2277681E+00
 0.1940000E+00 -0.1563679E+00 -0.1152760E+00 -0.7282552E-01 -0.2659497E-01  0.2615449E-01  0.8699298E-01  0.1517411E+00  0.2055673E+00  0.2295829E+00  0.2299676E+00
 0.1960000E+00 -0.1579548E+00 -0.1164525E+00 -0.7356849E-01 -0.2686282E-01  0.2643192E-01  0.8790476E-01  0.1533346E+00  0.2077187E+00  0.2319502E+00  0.2321614E+00
 0.1980000E+00 -0.1595411E+00 -0.1176287E+00 -0.7431121E-01 -0.2713047E-01  0.2670958E-01  0.8881698E-01  0.1549290E+00  0.2098710E+00  0.2343174E+00  0.2343495E+00
 0.2000000E+00 -0.1611268E+00 -0.1188044E+00 -0.7505369E-01 -0.2739791E-01  0.2698750E-01  0.8972965E-01  0.1565243E+00  0.2120243E+00  0.2366845E+00  0.2365318E+00
 0.2020000E+00 -0.1627119E+00 -0.1199799E+00 -0.7579591E-01 -0.2766513E-01  0.2726566E-01  0.9064278E-01  0.1581204E+00  0.2141786E+00  0.2390514E+00  0.2387082E+00
 0.2040000E+00 -0.1642963E+00 -0.1211549E+00 -0.7653789E-01 -0.2793214E-01  0.2754408E-01  0.9155636E-01  0.1597175E+00  0.2163338E+00  0.2414182E+00  0.2408786E+00
 0.2060000E+00 -0.1658802E+00 -0.1223297E+00 -0.7727960E-01 -0.2819892E-01  0.2782276E-01  0.9247041E-01  0.1613155E+00  0.2184900E+00  0.2437848E+00  0.2430430E+00
