 0.1000000E-02 -0.9625392E+00 -0.9552243E-01 -0.8598354E+00 -0.9781868E+00 -0.1092367E+01 -0.5910986E+00  0.1446867E+00  0.2745451E-01 -0.4881070E+00 -0.4409872E+00 -0.9743880E+00 -0.1954563E+00 -0.6579480E+00 -0.1654698E+01 -0.8131593E+00 -0.9214411E+00 -0.1049702E+01 -0.5929070E+00 -0.3550789E+00 -0.4591876E+00
 0.2000000E-02 -0.9625430E+00 -0.9551509E-01 -0.8598379E+00 -0.9781909E+00 -0.1092373E+01 -0.5910977E+00  0.1446971E+00  0.2746343E-01 -0.4881047E+00 -0.4409843E+00 -0.9743920E+00 -0.1954503E+00 -0.6579479E+00 -0.1654711E+01 -0.8131611E+00 -0.9214444E+00 -0.1049707E+01 -0.5929060E+00 -0.3550748E+00 -0.4591849E+00
 0.3000000E-02 -0.9625506E+00 -0.9550046E-01 -0.8598428E+00 -0.9781989E+00 -0.1092384E+01 -0.5910959E+00  0.1447179E+00  0.2748121E-01 -0.4881001E+00 -0.4409785E+00 -0.9743999E+00 -0.1954383E+00 -0.6579476E+00 -0.1654737E+01 -0.8131648E+00 -0.9214509E+00 -0.1049717E+01 -0.5929040E+00 -0.3550668E+00 -0.4591797E+00
 0.4000000E-02 -0.9625619E+00 -0.9547861E-01 -0.8598501E+00 -0.9782110E+00 -0.1092400E+01 -0.5910932E+00  0.1447489E+00  0.2750777E-01 -0.4880933E+00 -0.4409698E+00 -0.9744117E+00 -0.1954204E+00 -0.6579473E+00 -0.1654775E+01 -0.8131702E+00 -0.9214606E+00 -0.1049731E+01 -0.5929010E+00 -0.3550547E+00 -0.4591717E+00
 0.5000000E-02 -0.9625770E+00 -0.9544959E-01 -0.8598599E+00 -0.9782269E+00 -0.1092422E+01 -0.5910897E+00  0.1447901E+00  0.2754303E-01 -0.4880842E+00 -0.4409584E+00 -0.9744273E+00 -0.1953965E+00 -0.6579468E+00 -0.1654825E+01 -0.8131775E+00 -0.9214735E+00 -0.1049751E+01 -0.5928970E+00 -0.3550386E+00 -0.4591612E+00
 0.6000000E-02 -0.9625958E+00 -0.9541346E-01 -0.8598720E+00 -0.9782468E+00 -0.1092449E+01 -0.5910853E+00  0.1448414E+00  0.2758694E-01 -0.4880729E+00 -0.4409441E+00 -0.9744468E+00 -0.1953669E+00 -0.6579462E+00 -0.1654888E+01 -0.8131864E+00 -0.9214896E+00 -0.1049775E+01 -0.5928921E+00 -0.3550187E+00 -0.4591482E+00
 0.7000000E-02 -0.9626182E+00 -0.9537029E-01 -0.8598865E+00 -0.9782706E+00 -0.1092481E+01 -0.5910800E+00  0.1449026E+00  0.2763941E-01 -0.4880593E+00 -0.4409270E+00 -0.9744701E+00 -0.1953314E+00 -0.6579455E+00 -0.1654963E+01 -0.8131972E+00 -0.9215088E+00 -0.1049803E+01 -0.5928862E+00 -0.3549948E+00 -0.4591325E+00
 0.8000000E-02 -0.9626443E+00 -0.9532012E-01 -0.8599034E+00 -0.9782982E+00 -0.1092519E+01 -0.5910739E+00  0.1449739E+00  0.2770038E-01 -0.4880436E+00 -0.4409071E+00 -0.9744972E+00 -0.1952902E+00 -0.6579446E+00 -0.1655051E+01 -0.8132097E+00 -0.9215312E+00 -0.1049837E+01 -0.5928794E+00 -0.3549671E+00 -0.4591144E+00
 0.9000000E-02 -0.9626739E+00 -0.9526301E-01 -0.8599225E+00 -0.9783297E+00 -0.1092562E+01 -0.5910669E+00  0.1450549E+00  0.2776977E-01 -0.4880257E+00 -0.4408846E+00 -0.9745280E+00 -0.1952434E+00 -0.6579437E+00 -0.1655150E+01 -0.8132239E+00 -0.9215566E+00 -0.1049875E+01 -0.5928716E+00 -0.3549355E+00 -0.4590937E+00
 0.1000000E-01 -0.9627071E+00 -0.9519904E-01 -0.8599440E+00 -0.9783649E+00 -0.1092610E+01 -0.5910591E+00  0.1451457E+00  0.2784752E-01 -0.4880056E+00 -0.4408593E+00 -0.9745625E+00 -0.1951908E+00 -0.6579426E+00 -0.1655261E+01 -0.8132398E+00 -0.9215851E+00 -0.1049918E+01 -0.5928628E+00 -0.3549001E+00 -0.4590706E+00
 0.1100000E-01 -0.9627439E+00 -0.9512824E-01 -0.8599678E+00 -0.9784039E+00 -0.1092663E+01 -0.5910505E+00  0.1452462E+00  0.2793356E-01 -0.4879834E+00 -0.4408313E+00 -0.9746007E+00 -0.1951327E+00 -0.6579415E+00 -0.1655385E+01 -0.8132574E+00 -0.9216166E+00 -0.1049965E+01 -0.5928532E+00 -0.3548610E+00 -0.4590449E+00
