 0.5100000E-02  0.6333114E+00  0.2445675E-18  0.2531615E+02  0.3068633E-07  0.2594947E+02
 0.5200000E-02  0.6333343E+00 -0.1425699E-17  0.2531612E+02  0.3061585E-07  0.2594945E+02
 0.5300000E-02  0.6333571E+00  0.8215679E-18  0.2531608E+02  0.3054502E-07  0.2594944E+02
 0.5400000E-02  0.6333799E+00  0.1789793E-17  0.2531605E+02  0.3047386E-07  0.2594943E+02
 0.5500000E-02  0.6334028E+00 -0.1025896E-17  0.2531601E+02  0.3040235E-07  0.2594941E+02
 0.5600000E-02  0.6334256E+00  0.4273804E-18  0.2531597E+02  0.3033050E-07  0.2594940E+02
 0.5700000E-02  0.6334484E+00 -0.5532188E-18  0.2531594E+02  0.3025831E-07  0.2594938E+02
 0.5800000E-02  0.6334713E+00 -0.1248368E-17  0.2531590E+02  0.3018578E-07  0.2594937E+02
 0.5900000E-02  0.6334941E+00  0.8004988E-18  0.2531586E+02  0.3011290E-07  0.2594936E+02
 0.6000000E-02  0.6335170E+00 -0.2213464E-17  0.2531583E+02  0.3003970E-07  0.2594934E+02
 0.6100000E-02  0.6335399E+00  0.6337716E-19  0.2531579E+02  0.2996614E-07  0.2594933E+02
 0.6200000E-02  0.6335627E+00 -0.8167486E-18  0.2531575E+02  0.2989225E-07  0.2594932E+02
 0.6300000E-02  0.6335856E+00 -0.4773459E-18  0.2531572E+02  0.2981803E-07  0.2594930E+02
 0.6400000E-02  0.6336085E+00 -0.2067126E-18  0.2531568E+02  0.2974345E-07  0.2594929E+02
 0.6500000E-02  0.6336313E+00 -0.7624020E-18  0.2531565E+02  0.2966855E-07  0.2594928E+02
 0.6600000E-02  0.6336542E+00  0.7417114E-18  0.2531561E+02  0.2959331E-07  0.2594926E+02
 0.6700000E-02  0.6336771E+00 -0.1927047E-18  0.2531557E+02  0.2951773E-07  0.2594925E+02
 0.6800000E-02  0.6337000E+00  0.1884036E-17  0.2531554E+02  0.2944181E-07  0.2594924E+02
 0.6900000E-02  0.6337229E+00  0.3530590E-18  0.2531550E+02  0.2936555E-07  0.2594922E+02
 0.7000000E-02  0.6337458E+00 -0.6817427E-18  0.2531546E+02  0.2928896E-07  0.2594921E+02
 0.7100000E-02  0.6337686E+00 -0.1290171E-18  0.2531543E+02  0.2921203E-07  0.2594920E+02
 0.7200000E-02  0.6337915E+00  0.8949746E-18  0.2531539E+02  0.2913477E-07  0.2594918E+02
 0.7300000E-02  0.6338145E+00 -0.2895917E-18  0.2531536E+02  0.2905716E-07  0.2594917E+02
 0.7400000E-02  0.6338374E+00  0.7550404E-18  0.2531532E+02  0.2897925E-07  0.2594916E+02
 0.7500000E-02  0.6338603E+00 -0.8202608E-18  0.2531528E+02  0.2890098E-07  0.2594914E+02
 0.7600000E-02  0.6338832E+00  0.9497488E-20  0.2531525E+02  0.2882236E-07  0.2594913E+02
 0.7700000E-02  0.6339061E+00 -0.2958227E-19  0.2531521E+02  0.2874343E-07  0.2594912E+02
 0.7800000E-02  0.6339290E+00 -0.1652267E-17  0.2531517E+02  0.2866416E-07  0.2594910E+02
 0.7900000E-02  0.6339520E+00  0.1294530E-17  0.2531514E+02  0.2858455E-07  0.2594909E+02
