 0.2000000E+01 -0.2256927E-01  0.2269768E-05  0.1805173E+00  0.1579503E+00
 0.4000000E+01 -0.2256928E-01  0.9078510E-05  0.1805105E+00  0.1579503E+00
 0.6000000E+01 -0.2256928E-01  0.2042454E-04  0.1804991E+00  0.1579503E+00
 0.8000000E+01 -0.2256929E-01  0.3630505E-04  0.1804833E+00  0.1579503E+00
 0.1000000E+02 -0.2256931E-01  0.5671612E-04  0.1804629E+00  0.1579503E+00
 0.1200000E+02 -0.2256932E-01  0.8165270E-04  0.1804379E+00  0.1579502E+00
 0.1400000E+02 -0.2256934E-01  0.1111086E-03  0.1804085E+00  0.1579502E+00
 0.1600000E+02 -0.2256937E-01  0.1450767E-03  0.1803745E+00  0.1579502E+00
 0.1800000E+02 -0.2256939E-01  0.1835484E-03  0.1803360E+00  0.1579502E+00
 0.2000000E+02 -0.2256942E-01  0.2265144E-03  0.1802931E+00  0.1579502E+00
 0.2200000E+02 -0.2256945E-01  0.2739641E-03  0.1802456E+00  0.1579501E+00
 0.2400000E+02 -0.2256949E-01  0.3258859E-03  0.1801937E+00  0.1579501E+00
 0.2600000E+02 -0.2256953E-01  0.3822671E-03  0.1801373E+00  0.1579501E+00
 0.2800000E+02 -0.2256957E-01  0.4430939E-03  0.1800765E+00  0.1579500E+00
 0.3000000E+02 -0.2256961E-01  0.5083515E-03  0.1800112E+00  0.1579500E+00
 0.3200000E+02 -0.2256966E-01  0.5780241E-03  0.1799416E+00  0.1579499E+00
 0.3400000E+02 -0.2256971E-01  0.6520947E-03  0.1798675E+00  0.1579499E+00
 0.3600000E+02 -0.2256976E-01  0.7305456E-03  0.1797891E+00  0.1579499E+00
 0.3800000E+02 -0.2256981E-01  0.8133577E-03  0.1797063E+00  0.1579498E+00
 0.4000000E+02 -0.2256987E-01  0.9005112E-03  0.1796191E+00  0.1579497E+00
 0.4200000E+02 -0.2256994E-01  0.9919853E-03  0.1795276E+00  0.1579497E+00
 0.4400000E+02 -0.2257000E-01  0.1087758E-02  0.1794319E+00  0.1579496E+00
 0.4600000E+02 -0.2257007E-01  0.1187807E-02  0.1793318E+00  0.1579496E+00
 0.4800000E+02 -0.2257014E-01  0.1292108E-02  0.1792275E+00  0.1579495E+00
 0.5000000E+02 -0.2257021E-01  0.1400637E-02  0.1791190E+00  0.1579494E+00
 0.5200000E+02 -0.2257029E-01  0.1513369E-02  0.1790063E+00  0.1579494E+00
 0.5400000E+02 -0.2257037E-01  0.1630276E-02  0.1788894E+00  0.1579493E+00
 0.5600000E+02 -0.2257045E-01  0.1751332E-02  0.1787683E+00  0.1579492E+00
 0.5800000E+02 -0.2257054E-01  0.1876509E-02  0.1786432E+00  0.1579491E+00
 0.6000000E+02 -0.2257063E-01  0.2005778E-02  0.1785139E+00  0.1579491E+00
 0.6200000E+02 -0.2257072E-01  0.2139109E-02  0.1783806E+00  0.1579490E+00
 0.6400000E+02 -0.2257081E-01  0.2276473E-02  0.1782432E+00  0.1579489E+00
 0.6600000E+02 -0.2257091E-01  0.2417837E-02  0.1781019E+00  0.1579488E+00
 0.6800000E+02 -0.2257101E-01  0.2563170E-02  0.1779565E+00  0.1579487E+00
 0.7000000E+02 -0.2257112E-01  0.2712439E-02  0.1778073E+00  0.1579486E+00
 0.7200000E+02 -0.2257122E-01  0.2865612E-02  0.1776541E+00  0.1579485E+00
 0.7400000E+02 -0.2257133E-01  0.3022654E-02  0.1774971E+00  0.1579484E+00
 0.7600000E+02 -0.2257144E-01  0.3183531E-02  0.1773362E+00  0.1579483E+00
 0.7800000E+02 -0.2257156E-01  0.3348208E-02  0.1771716E+00  0.1579482E+00
 0.8000000E+02 -0.2257168E-01  0.3516648E-02  0.1770031E+00  0.1579481E+00
 0.8200000E+02 -0.2257180E-01  0.3688816E-02  0.1768310E+00  0.1579480E+00
 0.8400000E+02 -0.2257192E-01  0.3864674E-02  0.1766551E+00  0.1579479E+00
 0.8600000E+02 -0.2257205E-01  0.4044186E-02  0.1764756E+00  0.1579478E+00
 0.8800000E+02 -0.2257218E-01  0.4227312E-02  0.1762925E+00  0.1579476E+00
 0.9000000E+02 -0.2257232E-01  0.4414016E-02  0.1761058E+00  0.1579475E+00
 0.9200000E+02 -0.2257245E-01  0.4604258E-02  0.1759156E+00  0.1579474E+00
 0.9400000E+02 -0.2257259E-01  0.4797998E-02  0.1757219E+00  0.1579473E+00
 0.9600000E+02 -0.2257273E-01  0.4995198E-02  0.1755247E+00  0.1579471E+00
 0.9800000E+02 -0.2257288E-01  0.5195816E-02  0.1753241E+00  0.1579470E+00
 0.1000000E+03 -0.2257303E-01  0.5399813E-02  0.1751201E+00  0.1579469E+00
 0.1020000E+03 -0.2257318E-01  0.5607147E-02  0.1749128E+00  0.1579467E+00
 0.1040000E+03 -0.2257333E-01  0.5817778E-02  0.1747021E+00  0.1579466E+00
 0.1060000E+03 -0.2257349E-01  0.6031664E-02  0.1744883E+00  0.1579465E+00
 0.1080000E+03 -0.2257365E-01  0.6248764E-02  0.1742712E+00  0.1579463E+00
 0.1100000E+03 -0.2257381E-01  0.6469035E-02  0.1740509E+00  0.1579462E+00
 0.1120000E+03 -0.2257398E-01  0.6692435E-02  0.1738275E+00  0.1579460E+00
 0.1140000E+03 -0.2257414E-01  0.6918922E-02  0.1736011E+00  0.1579459E+00
 0.1160000E+03 -0.2257431E-01  0.7148453E-02  0.1733716E+00  0.1579457E+00
 0.1180000E+03 -0.2257449E-01  0.7380985E-02  0.1731390E+00  0.1579455E+00
