-0.5964087E+01 -0.5599447E+01 -0.5234807E+01 -0.4870167E+01 -0.4505527E+01 -0.4140886E+01 -0.3776245E+01 -0.3411604E+01 -0.3046962E+01 -0.2682320E+01 -0.2317678E+01 -0.1953036E+01 -0.1588394E+01 -0.1223752E+01 -0.8591093E+00 -0.4944667E+00 -0.1298241E+00  0.2348186E+00  0.5994612E+00  0.9641037E+00  0.1469809E-01  0.1255823E-01  0.1011453E-01  0.7900578E-02  0.6006778E-02  0.4421790E-02  0.3124192E-02  0.2092049E-02  0.1303383E-02  0.7362024E-03  0.3685109E-03  0.1783099E-03  0.1436022E-03  0.2423928E-03  0.4526871E-03  0.7524770E-03  0.1119230E-02  0.1523728E-02  0.1895515E-02  0.2065449E-02
-0.5964058E+01 -0.5599422E+01 -0.5234787E+01 -0.4870151E+01 -0.4505514E+01 -0.4140877E+01 -0.3776239E+01 -0.3411599E+01 -0.3046960E+01 -0.2682319E+01 -0.2317678E+01 -0.1953036E+01 -0.1588394E+01 -0.1223751E+01 -0.8591084E+00 -0.4944652E+00 -0.1298219E+00  0.2348216E+00  0.5994650E+00  0.9641078E+00  0.2940254E-01  0.2512061E-01  0.2023125E-01  0.1580218E-01  0.1201398E-01  0.8843725E-02  0.6248417E-02  0.4184096E-02  0.2606759E-02  0.1472402E-02  0.7370224E-03  0.3566213E-03  0.2872053E-03  0.4847848E-03  0.9053710E-03  0.1504947E-02  0.2238449E-02  0.3047435E-02  0.3790999E-02  0.4130861E-02
-0.5964013E+01 -0.5599384E+01 -0.5234756E+01 -0.4870127E+01 -0.4505496E+01 -0.4140864E+01 -0.3776229E+01 -0.3411593E+01 -0.3046956E+01 -0.2682317E+01 -0.2317677E+01 -0.1953036E+01 -0.1588393E+01 -0.1223751E+01 -0.8591070E+00 -0.4944630E+00 -0.1298185E+00  0.2348262E+00  0.5994707E+00  0.9641140E+00  0.4411279E-01  0.3768616E-01  0.3034939E-01  0.2370431E-01  0.1802131E-01  0.1326564E-01  0.9372590E-02  0.6276102E-02  0.3910116E-02  0.2208598E-02  0.1105537E-02  0.5349367E-03  0.4308098E-03  0.7271743E-03  0.1358048E-02  0.2257406E-02  0.3357650E-02  0.4571117E-02  0.5686449E-02  0.6196267E-02
-0.5963955E+01 -0.5599334E+01 -0.5234716E+01 -0.4870096E+01 -0.4505472E+01 -0.4140846E+01 -0.3776217E+01 -0.3411585E+01 -0.3046950E+01 -0.2682314E+01 -0.2317675E+01 -0.1953035E+01 -0.1588393E+01 -0.1223750E+01 -0.8591052E+00 -0.4944600E+00 -0.1298140E+00  0.2348323E+00  0.5994783E+00  0.9641223E+00  0.5882828E-01  0.5025390E-01  0.4046816E-01  0.3160648E-01  0.2402848E-01  0.1768737E-01  0.1249662E-01  0.8368029E-02  0.5213439E-02  0.2944787E-02  0.1474056E-02  0.7132582E-03  0.5744162E-03  0.9695597E-03  0.1810715E-02  0.3009849E-02  0.4476829E-02  0.6094768E-02  0.7581861E-02  0.8261694E-02
-0.5963881E+01 -0.5599271E+01 -0.5234665E+01 -0.4870056E+01 -0.4505442E+01 -0.4140824E+01 -0.3776201E+01 -0.3411574E+01 -0.3046944E+01 -0.2682310E+01 -0.2317673E+01 -0.1953034E+01 -0.1588392E+01 -0.1223748E+01 -0.8591030E+00 -0.4944562E+00 -0.1298084E+00  0.2348399E+00  0.5994878E+00  0.9641326E+00  0.7354845E-01  0.6282285E-01  0.5058681E-01  0.3950818E-01  0.3003517E-01  0.2210874E-01  0.1562043E-01  0.1045984E-01  0.6516715E-02  0.3680968E-02  0.1842584E-02  0.8915882E-03  0.7180249E-03  0.1211939E-02  0.2263369E-02  0.3762272E-02  0.5595980E-02  0.7618381E-02  0.9477234E-02  0.1032717E-01
-0.5963793E+01 -0.5599196E+01 -0.5234605E+01 -0.4870009E+01 -0.4505406E+01 -0.4140797E+01 -0.3776182E+01 -0.3411562E+01 -0.3046936E+01 -0.2682306E+01 -0.2317671E+01 -0.1953033E+01 -0.1588391E+01 -0.1223747E+01 -0.8591003E+00 -0.4944517E+00 -0.1298017E+00  0.2348491E+00  0.5994991E+00  0.9641450E+00  0.8827273E-01  0.7539203E-01  0.6070455E-01  0.4740892E-01  0.3604111E-01  0.2652959E-01  0.1874393E-01  0.1255149E-01  0.7819931E-02  0.4417140E-02  0.2211120E-02  0.1069929E-02  0.8616367E-03  0.1454312E-02  0.2716005E-02  0.4514668E-02  0.6715097E-02  0.9141950E-02  0.1137256E-01  0.1239273E-01
-0.5963690E+01 -0.5599108E+01 -0.5234534E+01 -0.4869954E+01 -0.4505364E+01 -0.4140766E+01 -0.3776160E+01 -0.3411547E+01 -0.3046927E+01 -0.2682301E+01 -0.2317669E+01 -0.1953032E+01 -0.1588390E+01 -0.1223745E+01 -0.8590971E+00 -0.4944464E+00 -0.1297939E+00  0.2348597E+00  0.5995124E+00  0.9641594E+00  0.1030006E+00  0.8796045E-01  0.7082061E-01  0.5530820E-01  0.4204599E-01  0.3094975E-01  0.2186703E-01  0.1464294E-01  0.9123071E-02  0.5153300E-02  0.2579669E-02  0.1248283E-02  0.1005252E-02  0.1696675E-02  0.3168621E-02  0.5267034E-02  0.7834176E-02  0.1066547E-01  0.1326785E-01  0.1445840E-01
-0.5963572E+01 -0.5599007E+01 -0.5234453E+01 -0.4869890E+01 -0.4505316E+01 -0.4140731E+01 -0.3776136E+01 -0.3411530E+01 -0.3046916E+01 -0.2682295E+01 -0.2317666E+01 -0.1953030E+01 -0.1588389E+01 -0.1223743E+01 -0.8590935E+00 -0.4944404E+00 -0.1297849E+00  0.2348719E+00  0.5995276E+00  0.9641760E+00  0.1177314E+00  0.1005271E+00  0.8093421E-01  0.6320553E-01  0.4804951E-01  0.3536906E-01  0.2498964E-01  0.1673416E-01  0.1042612E-01  0.5889447E-02  0.2948233E-02  0.1426652E-02  0.1148871E-02  0.1939028E-02  0.3621212E-02  0.6019365E-02  0.8953211E-02  0.1218894E-01  0.1516308E-01  0.1652420E-01
-0.5963440E+01 -0.5598894E+01 -0.5234362E+01 -0.4869819E+01 -0.4505262E+01 -0.4140691E+01 -0.3776107E+01 -0.3411512E+01 -0.3046905E+01 -0.2682288E+01 -0.2317662E+01 -0.1953029E+01 -0.1588388E+01 -0.1223741E+01 -0.8590894E+00 -0.4944336E+00 -0.1297748E+00  0.2348856E+00  0.5995446E+00  0.9641946E+00  0.1324646E+00  0.1130911E+00  0.9104457E-01  0.7110041E-01  0.5405138E-01  0.3978735E-01  0.2811169E-01  0.1882510E-01  0.1172907E-01  0.6625578E-02  0.3316813E-02  0.1605039E-02  0.1292495E-02  0.2181368E-02  0.4073776E-02  0.6771657E-02  0.1007220E-01  0.1371234E-01  0.1705826E-01  0.1859017E-01
-0.5963292E+01 -0.5598768E+01 -0.5234261E+01 -0.4869740E+01 -0.4505202E+01 -0.4140647E+01 -0.3776076E+01 -0.3411491E+01 -0.3046892E+01 -0.2682281E+01 -0.2317659E+01 -0.1953027E+01 -0.1588386E+01 -0.1223739E+01 -0.8590849E+00 -0.4944261E+00 -0.1297637E+00  0.2349009E+00  0.5995636E+00  0.9642152E+00  0.1471996E+00  0.1256513E+00  0.1011509E+00  0.7899234E-01  0.6005130E-01  0.4420444E-01  0.3123307E-01  0.2091572E-01  0.1303191E-01  0.7361693E-02  0.3685412E-02  0.1783445E-02  0.1436124E-02  0.2423695E-02  0.4526309E-02  0.7523903E-02  0.1119113E-01  0.1523568E-01  0.1895339E-01  0.2065634E-01
