 0.2000000E-02  0.1700614E-01  0.9484997E-02  0.4874738E-02  0.2282105E-02  0.1214322E-02  0.9489610E-03  0.8701930E-03  0.2864074E-03 -0.1447748E-02 -0.4880761E-02
 0.4000000E-02  0.3401845E-01  0.1897107E-01  0.9749532E-02  0.4564185E-02  0.2428632E-02  0.1897913E-02  0.1740368E-02  0.5728225E-03 -0.2895386E-02 -0.9761574E-02
 0.6000000E-02  0.5103543E-01  0.2845746E-01  0.1462417E-01  0.6846201E-02  0.3642938E-02  0.2846851E-02  0.2610514E-02  0.8592692E-03 -0.4342729E-02 -0.1464188E-01
 0.8000000E-02  0.6805556E-01  0.3794343E-01  0.1949842E-01  0.9128112E-02  0.4857245E-02  0.3795772E-02  0.3480622E-02  0.1145771E-02 -0.5789593E-02 -0.1952113E-01
 0.1000000E-01  0.8507733E-01  0.4742823E-01  0.2437208E-01  0.1140988E-01  0.6071559E-02  0.4744671E-02  0.4350679E-02  0.1432352E-02 -0.7235796E-02 -0.2439876E-01
 0.1200000E-01  0.1020992E+00  0.5691111E-01  0.2924493E-01  0.1369146E-01  0.7285885E-02  0.5693545E-02  0.5220675E-02  0.1719035E-02 -0.8681153E-02 -0.2927421E-01
 0.1400000E-01  0.1191197E+00  0.6639132E-01  0.3411674E-01  0.1597282E-01  0.8500229E-02  0.6642388E-02  0.6090600E-02  0.2005844E-02 -0.1012548E-01 -0.3414692E-01
 0.1600000E-01  0.1361372E+00  0.7586811E-01  0.3898731E-01  0.1825392E-01  0.9714598E-02  0.7591198E-02  0.6960442E-02  0.2292803E-02 -0.1156859E-01 -0.3901634E-01
 0.1800000E-01  0.1531502E+00  0.8534073E-01  0.4385641E-01  0.2053472E-01  0.1092900E-01  0.8539969E-02  0.7830191E-02  0.2579936E-02 -0.1301031E-01 -0.4388190E-01
 0.2000000E-01  0.1701571E+00  0.9480844E-01  0.4872382E-01  0.2281518E-01  0.1214343E-01  0.9488699E-02  0.8699837E-02  0.2867266E-02 -0.1445045E-01 -0.4874305E-01
 0.2200000E-01  0.1871564E+00  0.1042705E+00  0.5358933E-01  0.2509526E-01  0.1335791E-01  0.1043738E-01  0.9569368E-02  0.3154818E-02 -0.1588883E-01 -0.5359922E-01
 0.2400000E-01  0.2041464E+00  0.1137261E+00  0.5845272E-01  0.2737491E-01  0.1457243E-01  0.1138601E-01  0.1043877E-01  0.3442614E-02 -0.1732526E-01 -0.5844984E-01
 0.2600000E-01  0.2211256E+00  0.1231746E+00  0.6331377E-01  0.2965411E-01  0.1578700E-01  0.1233459E-01  0.1130804E-01  0.3730680E-02 -0.1875957E-01 -0.6329436E-01
 0.2800000E-01  0.2380924E+00  0.1326152E+00  0.6817225E-01  0.3193282E-01  0.1700164E-01  0.1328311E-01  0.1217717E-01  0.4019038E-02 -0.2019157E-01 -0.6813220E-01
 0.3000000E-01  0.2550450E+00  0.1420471E+00  0.7302796E-01  0.3421098E-01  0.1821633E-01  0.1423157E-01  0.1304613E-01  0.4307713E-02 -0.2162107E-01 -0.7296281E-01
 0.3200000E-01  0.2719818E+00  0.1514697E+00  0.7788067E-01  0.3648857E-01  0.1943110E-01  0.1517996E-01  0.1391493E-01  0.4596730E-02 -0.2304790E-01 -0.7778560E-01
 0.3400000E-01  0.2889012E+00  0.1608821E+00  0.8273016E-01  0.3876555E-01  0.2064594E-01  0.1612828E-01  0.1478354E-01  0.4886111E-02 -0.2447189E-01 -0.8260001E-01
 0.3600000E-01  0.3058014E+00  0.1702837E+00  0.8757621E-01  0.4104188E-01  0.2186086E-01  0.1707653E-01  0.1565197E-01  0.5175882E-02 -0.2589283E-01 -0.8740547E-01
 0.3800000E-01  0.3226806E+00  0.1796737E+00  0.9241860E-01  0.4331752E-01  0.2307587E-01  0.1802470E-01  0.1652019E-01  0.5466066E-02 -0.2731056E-01 -0.9220141E-01
 0.4000000E-01  0.3395371E+00  0.1890514E+00  0.9725710E-01  0.4559243E-01  0.2429096E-01  0.1897279E-01  0.1738820E-01  0.5756689E-02 -0.2872490E-01 -0.9698723E-01
 0.4200000E-01  0.3563690E+00  0.1984160E+00  0.1020915E+00  0.4786657E-01  0.2550615E-01  0.1992080E-01  0.1825598E-01  0.6047774E-02 -0.3013567E-01 -0.1017624E+00
 0.4400000E-01  0.3731746E+00  0.2077668E+00  0.1069216E+00  0.5013991E-01  0.2672145E-01  0.2086872E-01  0.1912353E-01  0.6339346E-02 -0.3154268E-01 -0.1065263E+00
