 0.2000000E-02  0.1630372E-02  0.1008144E-02  0.1040233E-02  0.1015894E-02  0.9811761E-03  0.9633306E-03  0.9663670E-03  0.9894938E-03  0.1013702E-02  0.1028310E-02  0.1072068E-02  0.3499468E-03
 0.4000000E-02  0.3260798E-02  0.2016297E-02  0.2080465E-02  0.2031786E-02  0.1962350E-02  0.1926657E-02  0.1932727E-02  0.1978978E-02  0.2027391E-02  0.2056608E-02  0.2144102E-02  0.7000012E-03
 0.6000000E-02  0.4890994E-02  0.3024491E-02  0.3120691E-02  0.3047670E-02  0.2943518E-02  0.2889976E-02  0.2899077E-02  0.2968447E-02  0.3041064E-02  0.3084890E-02  0.3216059E-02  0.1050468E-02
 0.8000000E-02  0.6520676E-02  0.4032757E-02  0.4160902E-02  0.4063544E-02  0.3924677E-02  0.3853281E-02  0.3865413E-02  0.3957896E-02  0.4054719E-02  0.4113158E-02  0.4287895E-02  0.1401651E-02
 0.1000000E-01  0.8149560E-02  0.5041126E-02  0.5201092E-02  0.5079400E-02  0.4905824E-02  0.4816571E-02  0.4831731E-02  0.4947322E-02  0.5068351E-02  0.5141409E-02  0.5359567E-02  0.1753855E-02
 0.1200000E-01  0.9777361E-02  0.6049627E-02  0.6241254E-02  0.6095236E-02  0.5886957E-02  0.5779839E-02  0.5798027E-02  0.5936719E-02  0.6081958E-02  0.6169642E-02  0.6431030E-02  0.2107383E-02
 0.1400000E-01  0.1140380E-01  0.7058292E-02  0.7281382E-02  0.7111045E-02  0.6868071E-02  0.6743082E-02  0.6764296E-02  0.6926084E-02  0.7095537E-02  0.7197857E-02  0.7502241E-02  0.2462539E-02
 0.1600000E-01  0.1302859E-01  0.8067151E-02  0.8321469E-02  0.8126823E-02  0.7849163E-02  0.7706297E-02  0.7730537E-02  0.7915410E-02  0.8109084E-02  0.8226052E-02  0.8573156E-02  0.2819626E-02
 0.1800000E-01  0.1465144E-01  0.9076235E-02  0.9361508E-02  0.9142565E-02  0.8830231E-02  0.8669477E-02  0.8696744E-02  0.8904694E-02  0.9122597E-02  0.9254226E-02  0.9643733E-02  0.3178944E-02
 0.2000000E-01  0.1627209E-01  0.1008557E-01  0.1040149E-01  0.1015827E-01  0.9811272E-02  0.9632620E-02  0.9662913E-02  0.9893932E-02  0.1013607E-01  0.1028238E-01  0.1071393E-01  0.3540793E-02
 0.2200000E-01  0.1789024E-01  0.1109520E-01  0.1144141E-01  0.1117392E-01  0.1079228E-01  0.1059572E-01  0.1062904E-01  0.1088312E-01  0.1114951E-01  0.1131051E-01  0.1178370E-01  0.3905474E-02
 0.2400000E-01  0.1950562E-01  0.1210514E-01  0.1248127E-01  0.1218953E-01  0.1177326E-01  0.1155878E-01  0.1159512E-01  0.1187225E-01  0.1216290E-01  0.1233861E-01  0.1285300E-01  0.4273283E-02
 0.2600000E-01  0.2111795E-01  0.1311542E-01  0.1352105E-01  0.1320508E-01  0.1275419E-01  0.1252178E-01  0.1256116E-01  0.1286132E-01  0.1317624E-01  0.1336669E-01  0.1392180E-01  0.4644516E-02
 0.2800000E-01  0.2272695E-01  0.1412608E-01  0.1456075E-01  0.1422057E-01  0.1373509E-01  0.1348473E-01  0.1352714E-01  0.1385032E-01  0.1418953E-01  0.1439474E-01  0.1499004E-01  0.5019468E-02
 0.3000000E-01  0.2433235E-01  0.1513714E-01  0.1560036E-01  0.1523599E-01  0.1471594E-01  0.1444762E-01  0.1449306E-01  0.1483925E-01  0.1520277E-01  0.1542276E-01  0.1605769E-01  0.5398431E-02
 0.3200000E-01  0.2593387E-01  0.1614863E-01  0.1663987E-01  0.1625135E-01  0.1569675E-01  0.1541045E-01  0.1545893E-01  0.1582811E-01  0.1621595E-01  0.1645075E-01  0.1712471E-01  0.5781696E-02
 0.3400000E-01  0.2753124E-01  0.1716058E-01  0.1767928E-01  0.1726663E-01  0.1667751E-01  0.1637321E-01  0.1642473E-01  0.1681689E-01  0.1722907E-01  0.1747871E-01  0.1819104E-01  0.6169550E-02
 0.3600000E-01  0.2912420E-01  0.1817302E-01  0.1871859E-01  0.1828182E-01  0.1765821E-01  0.1733590E-01  0.1739046E-01  0.1780559E-01  0.1824213E-01  0.1850664E-01  0.1925667E-01  0.6562279E-02
 0.3800000E-01  0.3071246E-01  0.1918598E-01  0.1975778E-01  0.1929694E-01  0.1863885E-01  0.1829852E-01  0.1835611E-01  0.1879420E-01  0.1925513E-01  0.1953453E-01  0.2032154E-01  0.6960166E-02
 0.4000000E-01  0.3229578E-01  0.2019948E-01  0.2079684E-01  0.2031197E-01  0.1961944E-01  0.1926105E-01  0.1932169E-01  0.1978271E-01  0.2026805E-01  0.2056239E-01  0.2138561E-01  0.7363492E-02
 0.4200000E-01  0.3387387E-01  0.2121355E-01  0.2183578E-01  0.2132690E-01  0.2059996E-01  0.2022350E-01  0.2028719E-01  0.2077113E-01  0.2128090E-01  0.2159021E-01  0.2244884E-01  0.7772533E-02
 0.4400000E-01  0.3544649E-01  0.2222822E-01  0.2287459E-01  0.2234173E-01  0.2158041E-01  0.2118586E-01  0.2125261E-01  0.2175944E-01  0.2229367E-01  0.2261799E-01  0.2351121E-01  0.8187566E-02
 0.4600000E-01  0.3701337E-01  0.2324351E-01  0.2391325E-01  0.2335646E-01  0.2256080E-01  0.2214813E-01  0.2221794E-01  0.2274765E-01  0.2330637E-01  0.2364573E-01  0.2457266E-01  0.8608859E-02
 0.4800000E-01  0.3857426E-01  0.2425945E-01  0.2495177E-01  0.2437107E-01  0.2354111E-01  0.2311030E-01  0.2318317E-01  0.2373575E-01  0.2431898E-01  0.2467342E-01  0.2563316E-01  0.9036683E-02
