 0.4600000E-01 -0.3661383E+01 -0.3086761E+01 -0.2511784E+01 -0.1936838E+01 -0.1361898E+01 -0.7869481E+00 -0.2119869E+00  0.3629854E+00  0.9379584E+00  0.1512926E+01  0.2087909E+01  0.2662478E+01
 0.4800000E-01 -0.3661306E+01 -0.3086712E+01 -0.2511735E+01 -0.1936790E+01 -0.1361851E+01 -0.7869019E+00 -0.2119405E+00  0.3630329E+00  0.9380070E+00  0.1512975E+01  0.2087960E+01  0.2662496E+01
 0.5000000E-01 -0.3661226E+01 -0.3086662E+01 -0.2511683E+01 -0.1936739E+01 -0.1361802E+01 -0.7868538E+00 -0.2118922E+00  0.3630823E+00  0.9380577E+00  0.1513027E+01  0.2088013E+01  0.2662515E+01
 0.5200000E-01 -0.3661143E+01 -0.3086609E+01 -0.2511629E+01 -0.1936686E+01 -0.1361751E+01 -0.7868037E+00 -0.2118420E+00  0.3631338E+00  0.9381104E+00  0.1513080E+01  0.2088069E+01  0.2662535E+01
 0.5400000E-01 -0.3661056E+01 -0.3086555E+01 -0.2511572E+01 -0.1936631E+01 -0.1361698E+01 -0.7867517E+00 -0.2117898E+00  0.3631872E+00  0.9381651E+00  0.1513136E+01  0.2088127E+01  0.2662555E+01
 0.5600000E-01 -0.3660967E+01 -0.3086498E+01 -0.2511514E+01 -0.1936574E+01 -0.1361643E+01 -0.7866978E+00 -0.2117358E+00  0.3632425E+00  0.9382218E+00  0.1513193E+01  0.2088186E+01  0.2662577E+01
 0.5800000E-01 -0.3660874E+01 -0.3086439E+01 -0.2511454E+01 -0.1936515E+01 -0.1361586E+01 -0.7866420E+00 -0.2116797E+00  0.3632999E+00  0.9382806E+00  0.1513253E+01  0.2088248E+01  0.2662599E+01
 0.6000000E-01 -0.3660779E+01 -0.3086379E+01 -0.2511392E+01 -0.1936454E+01 -0.1361527E+01 -0.7865842E+00 -0.2116218E+00  0.3633592E+00  0.9383414E+00  0.1513315E+01  0.2088312E+01  0.2662623E+01
 0.6200000E-01 -0.3660680E+01 -0.3086316E+01 -0.2511327E+01 -0.1936392E+01 -0.1361466E+01 -0.7865245E+00 -0.2115619E+00  0.3634205E+00  0.9384042E+00  0.1513378E+01  0.2088378E+01  0.2662647E+01
 0.6400000E-01 -0.3660578E+01 -0.3086251E+01 -0.2511261E+01 -0.1936327E+01 -0.1361404E+01 -0.7864629E+00 -0.2115001E+00  0.3634838E+00  0.9384690E+00  0.1513444E+01  0.2088446E+01  0.2662673E+01
 0.6600000E-01 -0.3660474E+01 -0.3086184E+01 -0.2511192E+01 -0.1936260E+01 -0.1361339E+01 -0.7863994E+00 -0.2114364E+00  0.3635490E+00  0.9385359E+00  0.1513512E+01  0.2088517E+01  0.2662699E+01
 0.6800000E-01 -0.3660366E+01 -0.3086115E+01 -0.2511121E+01 -0.1936191E+01 -0.1361272E+01 -0.7863339E+00 -0.2113707E+00  0.3636162E+00  0.9386047E+00  0.1513582E+01  0.2088589E+01  0.2662727E+01
 0.7000000E-01 -0.3660256E+01 -0.3086044E+01 -0.2511049E+01 -0.1936120E+01 -0.1361203E+01 -0.7862665E+00 -0.2113031E+00  0.3636854E+00  0.9386756E+00  0.1513654E+01  0.2088663E+01  0.2662755E+01
 0.7200000E-01 -0.3660142E+01 -0.3085971E+01 -0.2510974E+01 -0.1936046E+01 -0.1361133E+01 -0.7861972E+00 -0.2112336E+00  0.3637566E+00  0.9387486E+00  0.1513728E+01  0.2088740E+01  0.2662785E+01
 0.7400000E-01 -0.3660026E+01 -0.3085896E+01 -0.2510897E+01 -0.1935971E+01 -0.1361060E+01 -0.7861260E+00 -0.2111622E+00  0.3638297E+00  0.9388235E+00  0.1513804E+01  0.2088819E+01  0.2662815E+01
 0.7600000E-01 -0.3659906E+01 -0.3085819E+01 -0.2510818E+01 -0.1935894E+01 -0.1360986E+01 -0.7860529E+00 -0.2110888E+00  0.3639048E+00  0.9389005E+00  0.1513882E+01  0.2088899E+01  0.2662847E+01
 0.7800000E-01 -0.3659784E+01 -0.3085740E+01 -0.2510737E+01 -0.1935815E+01 -0.1360909E+01 -0.7859778E+00 -0.2110135E+00  0.3639819E+00  0.9389795E+00  0.1513962E+01  0.2088982E+01  0.2662880E+01
 0.8000000E-01 -0.3659659E+01 -0.3085659E+01 -0.2510654E+01 -0.1935734E+01 -0.1360831E+01 -0.7859009E+00 -0.2109363E+00  0.3640610E+00  0.9390605E+00  0.1514044E+01  0.2089067E+01  0.2662914E+01
 0.8200000E-01 -0.3659531E+01 -0.3085575E+01 -0.2510569E+01 -0.1935651E+01 -0.1360751E+01 -0.7858220E+00 -0.2108571E+00  0.3641420E+00  0.9391435E+00  0.1514129E+01  0.2089154E+01  0.2662949E+01
 0.8400000E-01 -0.3659400E+01 -0.3085490E+01 -0.2510482E+01 -0.1935565E+01 -0.1360668E+01 -0.7857412E+00 -0.2107761E+00  0.3642250E+00  0.9392286E+00  0.1514215E+01  0.2089243E+01  0.2662985E+01
 0.8600000E-01 -0.3659267E+01 -0.3085402E+01 -0.2510392E+01 -0.1935478E+01 -0.1360584E+01 -0.7856584E+00 -0.2106931E+00  0.3643100E+00  0.9393157E+00  0.1514303E+01  0.2089334E+01  0.2663023E+01
 0.8800000E-01 -0.3659131E+01 -0.3085313E+01 -0.2510301E+01 -0.1935389E+01 -0.1360498E+01 -0.7855738E+00 -0.2106082E+00  0.3643969E+00  0.9394048E+00  0.1514394E+01  0.2089427E+01  0.2663061E+01
 0.9000000E-01 -0.3658991E+01 -0.3085221E+01 -0.2510207E+01 -0.1935298E+01 -0.1360409E+01 -0.7854872E+00 -0.2105213E+00  0.3644858E+00  0.9394959E+00  0.1514486E+01  0.2089523E+01  0.2663101E+01
 0.9200000E-01 -0.3658850E+01 -0.3085128E+01 -0.2510112E+01 -0.1935204E+01 -0.1360319E+01 -0.7853987E+00 -0.2104325E+00  0.3645767E+00  0.9395890E+00  0.1514581E+01  0.2089620E+01  0.2663143E+01
 0.9400000E-01 -0.3658705E+01 -0.3085032E+01 -0.2510014E+01 -0.1935109E+01 -0.1360227E+01 -0.7853083E+00 -0.2103418E+00  0.3646695E+00  0.9396842E+00  0.1514677E+01  0.2089719E+01  0.2663185E+01
 0.9600000E-01 -0.3658558E+01 -0.3084934E+01 -0.2509915E+01 -0.1935012E+01 -0.1360133E+01 -0.7852160E+00 -0.2102492E+00  0.3647643E+00  0.9397814E+00  0.1514776E+01  0.2089821E+01  0.2663229E+01
 0.9800000E-01 -0.3658408E+01 -0.3084834E+01 -0.2509813E+01 -0.1934912E+01 -0.1360037E+01 -0.7851217E+00 -0.2101547E+00  0.3648611E+00  0.9398805E+00  0.1514877E+01  0.2089924E+01  0.2663274E+01
 0.1000000E+00 -0.3658255E+01 -0.3084732E+01 -0.2509709E+01 -0.1934811E+01 -0.1359939E+01 -0.7850256E+00 -0.2100582E+00  0.3649598E+00  0.9399818E+00  0.1514979E+01  0.2090030E+01  0.2663320E+01
