 0.2000000E-02 -0.3662244E+01 -0.2959530E+01 -0.2256811E+01 -0.1554088E+01 -0.8513618E+00 -0.1486339E+00  0.5540943E+00  0.1256821E+01  0.1959546E+01  0.2662268E+01
 0.4000000E-02 -0.3662176E+01 -0.2959492E+01 -0.2256792E+01 -0.1554079E+01 -0.8513569E+00 -0.1486301E+00  0.5540978E+00  0.1256823E+01  0.1959541E+01  0.2662248E+01
 0.6000000E-02 -0.3662074E+01 -0.2959435E+01 -0.2256762E+01 -0.1554065E+01 -0.8513496E+00 -0.1486244E+00  0.5541030E+00  0.1256824E+01  0.1959532E+01  0.2662219E+01
 0.8000000E-02 -0.3661937E+01 -0.2959360E+01 -0.2256723E+01 -0.1554047E+01 -0.8513399E+00 -0.1486168E+00  0.5541100E+00  0.1256827E+01  0.1959520E+01  0.2662180E+01
 0.1000000E-01 -0.3661767E+01 -0.2959265E+01 -0.2256675E+01 -0.1554024E+01 -0.8513278E+00 -0.1486073E+00  0.5541187E+00  0.1256830E+01  0.1959506E+01  0.2662131E+01
 0.1200000E-01 -0.3661563E+01 -0.2959151E+01 -0.2256616E+01 -0.1553997E+01 -0.8513132E+00 -0.1485960E+00  0.5541291E+00  0.1256833E+01  0.1959489E+01  0.2662073E+01
 0.1400000E-01 -0.3661325E+01 -0.2959018E+01 -0.2256548E+01 -0.1553965E+01 -0.8512962E+00 -0.1485827E+00  0.5541413E+00  0.1256837E+01  0.1959468E+01  0.2662004E+01
 0.1600000E-01 -0.3661053E+01 -0.2958866E+01 -0.2256470E+01 -0.1553928E+01 -0.8512768E+00 -0.1485675E+00  0.5541552E+00  0.1256842E+01  0.1959445E+01  0.2661926E+01
 0.1800000E-01 -0.3660746E+01 -0.2958696E+01 -0.2256382E+01 -0.1553887E+01 -0.8512549E+00 -0.1485504E+00  0.5541709E+00  0.1256847E+01  0.1959419E+01  0.2661839E+01
 0.2000000E-01 -0.3660406E+01 -0.2958506E+01 -0.2256285E+01 -0.1553842E+01 -0.8512306E+00 -0.1485314E+00  0.5541883E+00  0.1256852E+01  0.1959390E+01  0.2661741E+01
 0.2200000E-01 -0.3660032E+01 -0.2958298E+01 -0.2256178E+01 -0.1553791E+01 -0.8512039E+00 -0.1485106E+00  0.5542074E+00  0.1256859E+01  0.1959358E+01  0.2661634E+01
 0.2400000E-01 -0.3659623E+01 -0.2958070E+01 -0.2256061E+01 -0.1553737E+01 -0.8511747E+00 -0.1484878E+00  0.5542283E+00  0.1256866E+01  0.1959324E+01  0.2661517E+01
 0.2600000E-01 -0.3659181E+01 -0.2957824E+01 -0.2255934E+01 -0.1553677E+01 -0.8511432E+00 -0.1484631E+00  0.5542509E+00  0.1256873E+01  0.1959286E+01  0.2661390E+01
 0.2800000E-01 -0.3658705E+01 -0.2957559E+01 -0.2255798E+01 -0.1553613E+01 -0.8511092E+00 -0.1484366E+00  0.5542752E+00  0.1256881E+01  0.1959246E+01  0.2661254E+01
 0.3000000E-01 -0.3658195E+01 -0.2957274E+01 -0.2255652E+01 -0.1553545E+01 -0.8510727E+00 -0.1484081E+00  0.5543013E+00  0.1256890E+01  0.1959203E+01  0.2661108E+01
 0.3200000E-01 -0.3657651E+01 -0.2956971E+01 -0.2255496E+01 -0.1553472E+01 -0.8510339E+00 -0.1483777E+00  0.5543292E+00  0.1256899E+01  0.1959157E+01  0.2660953E+01
 0.3400000E-01 -0.3657073E+01 -0.2956650E+01 -0.2255330E+01 -0.1553395E+01 -0.8509926E+00 -0.1483455E+00  0.5543587E+00  0.1256909E+01  0.1959108E+01  0.2660787E+01
 0.3600000E-01 -0.3656461E+01 -0.2956309E+01 -0.2255155E+01 -0.1553312E+01 -0.8509489E+00 -0.1483113E+00  0.5543900E+00  0.1256919E+01  0.1959056E+01  0.2660613E+01
 0.3800000E-01 -0.3655816E+01 -0.2955950E+01 -0.2254971E+01 -0.1553226E+01 -0.8509027E+00 -0.1482753E+00  0.5544231E+00  0.1256930E+01  0.1959001E+01  0.2660428E+01
 0.4000000E-01 -0.3655137E+01 -0.2955572E+01 -0.2254776E+01 -0.1553135E+01 -0.8508541E+00 -0.1482373E+00  0.5544579E+00  0.1256942E+01  0.1958944E+01  0.2660234E+01
 0.4200000E-01 -0.3654424E+01 -0.2955175E+01 -0.2254572E+01 -0.1553039E+01 -0.8508031E+00 -0.1481975E+00  0.5544944E+00  0.1256954E+01  0.1958883E+01  0.2660031E+01
 0.4400000E-01 -0.3653678E+01 -0.2954759E+01 -0.2254358E+01 -0.1552939E+01 -0.8507497E+00 -0.1481557E+00  0.5545326E+00  0.1256966E+01  0.1958820E+01  0.2659818E+01
 0.4600000E-01 -0.3652898E+01 -0.2954325E+01 -0.2254134E+01 -0.1552834E+01 -0.8506938E+00 -0.1481121E+00  0.5545726E+00  0.1256980E+01  0.1958754E+01  0.2659595E+01
 0.4800000E-01 -0.3652085E+01 -0.2953872E+01 -0.2253901E+01 -0.1552724E+01 -0.8506355E+00 -0.1480666E+00  0.5546143E+00  0.1256993E+01  0.1958686E+01  0.2659363E+01
 0.5000000E-01 -0.3651238E+01 -0.2953401E+01 -0.2253659E+01 -0.1552610E+01 -0.8505748E+00 -0.1480192E+00  0.5546578E+00  0.1257008E+01  0.1958614E+01  0.2659122E+01
 0.5200000E-01 -0.3650358E+01 -0.2952911E+01 -0.2253406E+01 -0.1552492E+01 -0.8505116E+00 -0.1479698E+00  0.5547029E+00  0.1257023E+01  0.1958540E+01  0.2658871E+01
 0.5400000E-01 -0.3649444E+01 -0.2952402E+01 -0.2253144E+01 -0.1552369E+01 -0.8504460E+00 -0.1479186E+00  0.5547499E+00  0.1257038E+01  0.1958463E+01  0.2658610E+01
 0.5600000E-01 -0.3648497E+01 -0.2951875E+01 -0.2252873E+01 -0.1552242E+01 -0.8503780E+00 -0.1478655E+00  0.5547985E+00  0.1257055E+01  0.1958383E+01  0.2658341E+01
 0.5800000E-01 -0.3647518E+01 -0.2951330E+01 -0.2252591E+01 -0.1552109E+01 -0.8503075E+00 -0.1478105E+00  0.5548489E+00  0.1257071E+01  0.1958301E+01  0.2658062E+01
 0.6000000E-01 -0.3646505E+01 -0.2950766E+01 -0.2252301E+01 -0.1551973E+01 -0.8502346E+00 -0.1477536E+00  0.5549010E+00  0.1257089E+01  0.1958215E+01  0.2657773E+01
 0.6200000E-01 -0.3645459E+01 -0.2950183E+01 -0.2252000E+01 -0.1551832E+01 -0.8501593E+00 -0.1476948E+00  0.5549548E+00  0.1257107E+01  0.1958127E+01  0.2657476E+01
 0.6400000E-01 -0.3644380E+01 -0.2949582E+01 -0.2251690E+01 -0.1551686E+01 -0.8500815E+00 -0.1476341E+00  0.5550104E+00  0.1257125E+01  0.1958037E+01  0.2657169E+01
 0.6600000E-01 -0.3643269E+01 -0.2948963E+01 -0.2251371E+01 -0.1551536E+01 -0.8500013E+00 -0.1475716E+00  0.5550677E+00  0.1257145E+01  0.1957943E+01  0.2656853E+01
 0.6800000E-01 -0.3642125E+01 -0.2948326E+01 -0.2251042E+01 -0.1551381E+01 -0.8499187E+00 -0.1475071E+00  0.5551267E+00  0.1257164E+01  0.1957847E+01  0.2656528E+01
 0.7000000E-01 -0.3640948E+01 -0.2947671E+01 -0.2250704E+01 -0.1551222E+01 -0.8498336E+00 -0.1474407E+00  0.5551875E+00  0.1257185E+01  0.1957748E+01  0.2656193E+01
 0.7200000E-01 -0.3639739E+01 -0.2946997E+01 -0.2250356E+01 -0.1551058E+01 -0.8497461E+00 -0.1473725E+00  0.5552499E+00  0.1257206E+01  0.1957647E+01  0.2655850E+01
 0.7400000E-01 -0.3638497E+01 -0.2946305E+01 -0.2249998E+01 -0.1550890E+01 -0.8496562E+00 -0.1473023E+00  0.5553141E+00  0.1257227E+01  0.1957543E+01  0.2655498E+01
