 0.2000000E-02  0.9997172E+00 -0.1650901E-01
 0.4000000E-02  0.9993652E+00 -0.2474861E-01
 0.6000000E-02  0.9988729E+00 -0.3296697E-01
 0.8000000E-02  0.9982450E+00 -0.4116273E-01
 0.1000000E-01  0.9974790E+00 -0.4932532E-01
 0.1200000E-01  0.9965843E+00 -0.5745402E-01
 0.1400000E-01  0.9955543E+00 -0.6553853E-01
 0.1600000E-01  0.9944050E+00 -0.7357908E-01
 0.1800000E-01  0.9931240E+00 -0.8156563E-01
 0.2000000E-01  0.9917348E+00 -0.8949963E-01
 0.2200000E-01  0.9902180E+00 -0.9737119E-01
 0.2400000E-01  0.9886054E+00 -0.1051833E+00
 0.2600000E-01  0.9868698E+00 -0.1129260E+00
 0.2800000E-01  0.9850515E+00 -0.1206039E+00
 0.3000000E-01  0.9831148E+00 -0.1282071E+00
 0.3200000E-01  0.9811087E+00 -0.1357419E+00
 0.3400000E-01  0.9789890E+00 -0.1431979E+00
 0.3600000E-01  0.9768130E+00 -0.1505835E+00
 0.3800000E-01  0.9745279E+00 -0.1578876E+00
 0.4000000E-01  0.9721990E+00 -0.1651205E+00
 0.4200000E-01  0.9697653E+00 -0.1722704E+00
 0.4400000E-01  0.9672994E+00 -0.1793493E+00
 0.4600000E-01  0.9647328E+00 -0.1863448E+00
 0.4800000E-01  0.9621446E+00 -0.1932703E+00
 0.5000000E-01  0.9594593E+00 -0.2001127E+00
 0.5200000E-01  0.9567621E+00 -0.2068867E+00
 0.5400000E-01  0.9539709E+00 -0.2135785E+00
 0.5600000E-01  0.9511763E+00 -0.2202039E+00
 0.5800000E-01  0.9482907E+00 -0.2267483E+00
 0.6000000E-01  0.9454092E+00 -0.2332285E+00
 0.6200000E-01  0.9424393E+00 -0.2396294E+00
 0.6400000E-01  0.9394802E+00 -0.2459685E+00
 0.6600000E-01  0.9364349E+00 -0.2522300E+00
 0.6800000E-01  0.9334064E+00 -0.2584320E+00
 0.7000000E-01  0.9302936E+00 -0.2645584E+00
 0.7200000E-01  0.9272030E+00 -0.2706276E+00
 0.7400000E-01  0.9240298E+00 -0.2766231E+00
 0.7600000E-01  0.9208835E+00 -0.2825638E+00
 0.7800000E-01  0.9176563E+00 -0.2884329E+00
 0.8000000E-01  0.9144602E+00 -0.2942493E+00
 0.8200000E-01  0.9111844E+00 -0.2999963E+00
 0.8400000E-01  0.9079436E+00 -0.3056927E+00
 0.8600000E-01  0.9046244E+00 -0.3113220E+00
 0.8800000E-01  0.9013436E+00 -0.3169027E+00
 0.9000000E-01  0.8979853E+00 -0.3224185E+00
 0.9200000E-01  0.8946684E+00 -0.3278876E+00
 0.9400000E-01  0.8912749E+00 -0.3332942E+00
