 0.5200000E+00  0.1106420E+01  0.2256978E-17  0.2483479E+02 -0.1089938E-06  0.6952741-309
 0.5300000E+00  0.1136758E+01 -0.4418845E-18  0.2480397E+02 -0.1090059E-06  0.6952741-309
 0.5400000E+00  0.1169009E+01  0.9452933E-18  0.2477121E+02 -0.1082798E-06  0.6952741-309
 0.5500000E+00  0.1203282E+01  0.3198648E-17  0.2473641E+02 -0.1069808E-06  0.6952741-309
 0.5600000E+00  0.1239692E+01  0.1839017E-17  0.2469943E+02 -0.1052029E-06  0.6952741-309
 0.5700000E+00  0.1278354E+01 -0.2632694E-17  0.2466018E+02 -0.1029666E-06  0.6952741-309
 0.5800000E+00  0.1319392E+01  0.1101765E-17  0.2461852E+02 -0.1002269E-06  0.6952741-309
 0.5900000E+00  0.1362930E+01  0.2869077E-17  0.2457432E+02 -0.9688930E-07  0.6952741-309
 0.6000000E+00  0.1409099E+01 -0.6847491E-17  0.2452747E+02 -0.9283139E-07  0.6952741-309
 0.6100000E+00  0.1458031E+01 -0.2568089E-17  0.2447781E+02 -0.8792709E-07  0.6952741-309
 0.6200000E+00  0.1509863E+01  0.2234176E-17  0.2442522E+02 -0.8207056E-07  0.6952741-309
 0.6300000E+00  0.1564735E+01 -0.5524976E-18  0.2436956E+02 -0.7519692E-07  0.6952741-309
 0.6400000E+00  0.1622787E+01 -0.2846384E-17  0.2431068E+02 -0.6729835E-07  0.6952741-309
 0.6500000E+00  0.1684163E+01 -0.4987669E-18  0.2424844E+02 -0.5843351E-07  0.6952741-309
 0.6600000E+00  0.1749009E+01  0.5312156E-17  0.2418269E+02 -0.4873018E-07  0.6952741-309
 0.6700000E+00  0.1817470E+01  0.9217554E-17  0.2411330E+02 -0.3838047E-07  0.6952741-309
 0.6800000E+00  0.1889692E+01 -0.2157746E-17  0.2404010E+02 -0.2762976E-07  0.6952741-309
 0.6900000E+00  0.1965819E+01  0.1016499E-17  0.2396297E+02 -0.1675994E-07  0.6952741-309
 0.7000000E+00  0.2045994E+01 -0.4555870E-17  0.2388175E+02 -0.6069306E-08  0.6952741-309
 0.7100000E+00  0.2130359E+01 -0.1907398E-17  0.2379630E+02  0.4149557E-08  0.6952741-309
 0.7200000E+00  0.2219050E+01  0.2208901E-17  0.2370650E+02  0.1363104E-07  0.6952741-309
 0.7300000E+00  0.2312198E+01  0.2132984E-17  0.2361221E+02  0.2215521E-07  0.6952741-309
 0.7400000E+00  0.2409930E+01  0.1341502E-17  0.2351330E+02  0.2956171E-07  0.6952741-309
 0.7500000E+00  0.2512364E+01  0.6847557E-17  0.2340967E+02  0.3575771E-07  0.6952741-309
 0.7600000E+00  0.2619611E+01 -0.1626187E-17  0.2330119E+02  0.4071926E-07  0.6952741-309
 0.7700000E+00  0.2731771E+01 -0.1715746E-17  0.2318778E+02  0.4448602E-07  0.6952741-309
 0.7800000E+00  0.2848933E+01 -0.1212834E-17  0.2306934E+02  0.4715064E-07  0.6952741-309
 0.7900000E+00  0.2971176E+01 -0.7387146E-17  0.2294581E+02  0.4884424E-07  0.6952741-309
 0.8000000E+00  0.3098561E+01  0.7028418E-18  0.2281712E+02  0.4972038E-07  0.6952741-309
 0.8100000E+00  0.3231138E+01  0.6441460E-17  0.2268323E+02  0.4993937E-07  0.6952741-309
 0.8200000E+00  0.3368938E+01  0.3290423E-17  0.2254411E+02  0.4965508E-07  0.6952741-309
 0.8300000E+00  0.3511976E+01  0.1398446E-16  0.2239975E+02  0.4900533E-07  0.6952741-309
 0.8400000E+00  0.3660248E+01  0.6286301E-18  0.2225016E+02  0.4810650E-07  0.6952741-309
 0.8500000E+00  0.3813731E+01 -0.4709126E-19  0.2209537E+02  0.4705214E-07  0.6952741-309
 0.8600000E+00  0.3972380E+01  0.1149506E-17  0.2193543E+02  0.4591446E-07  0.6952741-309
 0.8700000E+00  0.4136130E+01  0.1476721E-16  0.2177041E+02  0.4474749E-07  0.6952741-309
