 0.1551000E+01 -0.6000285E+01 -0.5694406E+01 -0.5389495E+01 -0.5086320E+01 -0.4776570E+01 -0.4469533E+01 -0.4162977E+01 -0.3856162E+01 -0.3548366E+01 -0.3242454E+01 -0.2937690E+01 -0.2631999E+01 -0.2326014E+01 -0.2019951E+01 -0.1713881E+01 -0.1407834E+01 -0.1101822E+01 -0.7958153E+00 -0.4897048E+00 -0.1833973E+00  0.1230414E+00  0.4294922E+00  0.7359087E+00  0.1042293E+01  0.1348652E+01  0.1654972E+01  0.1961198E+01  0.2267210E+01  0.2572522E+01  0.2873849E+01  0.3184347E+01  0.3491599E+01  0.3798018E+01  0.4104322E+01  0.4410615E+01  0.4716910E+01  0.5023182E+01  0.5329398E+01  0.5635544E+01  0.5941639E+01  0.6247717E+01  0.6553799E+01  0.6859896E+01
 0.1552000E+01 -0.6000569E+01 -0.5694997E+01 -0.5391342E+01 -0.5091227E+01 -0.4777897E+01 -0.4469998E+01 -0.4163072E+01 -0.3855626E+01 -0.3546217E+01 -0.3240598E+01 -0.2937242E+01 -0.2632047E+01 -0.2326262E+01 -0.2020324E+01 -0.1714369E+01 -0.1408462E+01 -0.1102626E+01 -0.7968018E+00 -0.4907707E+00 -0.1843414E+00  0.1223533E+00  0.4290720E+00  0.7357209E+00  0.1042305E+01  0.1348838E+01  0.1655293E+01  0.1961559E+01  0.2267395E+01  0.2571830E+01  0.2868407E+01  0.3183097E+01  0.3491423E+01  0.3798076E+01  0.4104498E+01  0.4410899E+01  0.4717302E+01  0.5023661E+01  0.5329906E+01  0.5636012E+01  0.5942017E+01  0.6247985E+01  0.6553963E+01  0.6859970E+01
 0.1553000E+01 -0.6000853E+01 -0.5695587E+01 -0.5393170E+01 -0.5096157E+01 -0.4779235E+01 -0.4470466E+01 -0.4163167E+01 -0.3855090E+01 -0.3544063E+01 -0.3238755E+01 -0.2936794E+01 -0.2632094E+01 -0.2326511E+01 -0.2020696E+01 -0.1714857E+01 -0.1409090E+01 -0.1103432E+01 -0.7977939E+00 -0.4918460E+00 -0.1852944E+00  0.1216600E+00  0.4286498E+00  0.7355328E+00  0.1042317E+01  0.1349026E+01  0.1655615E+01  0.1961920E+01  0.2267578E+01  0.2571133E+01  0.2863130E+01  0.3181828E+01  0.3491244E+01  0.3798134E+01  0.4104675E+01  0.4411184E+01  0.4717696E+01  0.5024140E+01  0.5330414E+01  0.5636478E+01  0.5942392E+01  0.6248252E+01  0.6554126E+01  0.6860043E+01
 0.1554000E+01 -0.6001136E+01 -0.5696175E+01 -0.5394978E+01 -0.5101102E+01 -0.4780587E+01 -0.4470935E+01 -0.4163262E+01 -0.3854553E+01 -0.3541903E+01 -0.3236926E+01 -0.2936348E+01 -0.2632142E+01 -0.2326759E+01 -0.2021068E+01 -0.1715345E+01 -0.1409718E+01 -0.1104240E+01 -0.7987916E+00 -0.4929306E+00 -0.1862565E+00  0.1209615E+00  0.4282256E+00  0.7353449E+00  0.1042332E+01  0.1349216E+01  0.1655942E+01  0.1962287E+01  0.2267762E+01  0.2570437E+01  0.2857967E+01  0.3180548E+01  0.3491063E+01  0.3798192E+01  0.4104853E+01  0.4411470E+01  0.4718090E+01  0.5024620E+01  0.5330923E+01  0.5636946E+01  0.5942769E+01  0.6248520E+01  0.6554289E+01  0.6860117E+01
 0.1555000E+01 -0.6001419E+01 -0.5696763E+01 -0.5396768E+01 -0.5106054E+01 -0.4781950E+01 -0.4471406E+01 -0.4163358E+01 -0.3854015E+01 -0.3539739E+01 -0.3235109E+01 -0.2935901E+01 -0.2632189E+01 -0.2327007E+01 -0.2021439E+01 -0.1715833E+01 -0.1410346E+01 -0.1105050E+01 -0.7997949E+00 -0.4940249E+00 -0.1872277E+00  0.1202577E+00  0.4277995E+00  0.7351569E+00  0.1042347E+01  0.1349409E+01  0.1656271E+01  0.1962655E+01  0.2267946E+01  0.2569735E+01  0.2852963E+01  0.3179251E+01  0.3490879E+01  0.3798249E+01  0.4105031E+01  0.4411757E+01  0.4718486E+01  0.5025101E+01  0.5331431E+01  0.5637412E+01  0.5943144E+01  0.6248786E+01  0.6554452E+01  0.6860190E+01
 0.1556000E+01 -0.6001701E+01 -0.5697349E+01 -0.5398540E+01 -0.5111006E+01 -0.4783326E+01 -0.4471879E+01 -0.4163454E+01 -0.3853476E+01 -0.3537569E+01 -0.3233306E+01 -0.2935456E+01 -0.2632235E+01 -0.2327255E+01 -0.2021811E+01 -0.1716320E+01 -0.1410975E+01 -0.1105861E+01 -0.8008036E+00 -0.4951288E+00 -0.1882082E+00  0.1195486E+00  0.4273714E+00  0.7349690E+00  0.1042364E+01  0.1349604E+01  0.1656605E+01  0.1963027E+01  0.2268131E+01  0.2569036E+01  0.2848071E+01  0.3177942E+01  0.3490694E+01  0.3798307E+01  0.4105210E+01  0.4412045E+01  0.4718882E+01  0.5025583E+01  0.5331940E+01  0.5637878E+01  0.5943519E+01  0.6249054E+01  0.6554616E+01  0.6860265E+01
 0.1557000E+01 -0.6001983E+01 -0.5697934E+01 -0.5400294E+01 -0.5115951E+01 -0.4784714E+01 -0.4472354E+01 -0.4163551E+01 -0.3852937E+01 -0.3535395E+01 -0.3231515E+01 -0.2935010E+01 -0.2632282E+01 -0.2327503E+01 -0.2022183E+01 -0.1716807E+01 -0.1411604E+01 -0.1106675E+01 -0.8018180E+00 -0.4962425E+00 -0.1891982E+00  0.1188340E+00  0.4269413E+00  0.7347810E+00  0.1042381E+01  0.1349801E+01  0.1656941E+01  0.1963401E+01  0.2268316E+01  0.2568331E+01  0.2843331E+01  0.3176617E+01  0.3490505E+01  0.3798364E+01  0.4105389E+01  0.4412333E+01  0.4719280E+01  0.5026064E+01  0.5332448E+01  0.5638344E+01  0.5943894E+01  0.6249321E+01  0.6554780E+01  0.6860340E+01
 0.1558000E+01 -0.6002264E+01 -0.5698518E+01 -0.5402031E+01 -0.5120881E+01 -0.4786115E+01 -0.4472831E+01 -0.4163648E+01 -0.3852396E+01 -0.3533216E+01 -0.3229738E+01 -0.2934566E+01 -0.2632328E+01 -0.2327751E+01 -0.2022554E+01 -0.1717294E+01 -0.1412233E+01 -0.1107490E+01 -0.8028379E+00 -0.4973661E+00 -0.1901979E+00  0.1181140E+00  0.4265094E+00  0.7345933E+00  0.1042401E+01  0.1350002E+01  0.1657281E+01  0.1963779E+01  0.2268502E+01  0.2567629E+01  0.2838698E+01  0.3175280E+01  0.3490315E+01  0.3798421E+01  0.4105569E+01  0.4412623E+01  0.4719678E+01  0.5026547E+01  0.5332957E+01  0.5638811E+01  0.5944270E+01  0.6249589E+01  0.6554946E+01  0.6860417E+01
 0.1559000E+01 -0.6002545E+01 -0.5699101E+01 -0.5403752E+01 -0.5125791E+01 -0.4787529E+01 -0.4473310E+01 -0.4163746E+01 -0.3851855E+01 -0.3531033E+01 -0.3227972E+01 -0.2934121E+01 -0.2632374E+01 -0.2327998E+01 -0.2022925E+01 -0.1717781E+01 -0.1412862E+01 -0.1108306E+01 -0.8038633E+00 -0.4984998E+00 -0.1912074E+00  0.1173885E+00  0.4260755E+00  0.7344056E+00  0.1042422E+01  0.1350204E+01  0.1657624E+01  0.1964159E+01  0.2268688E+01  0.2566922E+01  0.2834205E+01  0.3173928E+01  0.3490122E+01  0.3798477E+01  0.4105750E+01  0.4412913E+01  0.4720077E+01  0.5027029E+01  0.5333466E+01  0.5639276E+01  0.5944645E+01  0.6249857E+01  0.6555113E+01  0.6860496E+01
 0.1560000E+01 -0.6002825E+01 -0.5699683E+01 -0.5405457E+01 -0.5130672E+01 -0.4788956E+01 -0.4473791E+01 -0.4163844E+01 -0.3851313E+01 -0.3528846E+01 -0.3226219E+01 -0.2933678E+01 -0.2632420E+01 -0.2328246E+01 -0.2023296E+01 -0.1718267E+01 -0.1413491E+01 -0.1109124E+01 -0.8048940E+00 -0.4996436E+00 -0.1922268E+00  0.1166574E+00  0.4256397E+00  0.7342181E+00  0.1042444E+01  0.1350410E+01  0.1657970E+01  0.1964544E+01  0.2268875E+01  0.2566218E+01  0.2829814E+01  0.3172564E+01  0.3489928E+01  0.3798534E+01  0.4105931E+01  0.4413204E+01  0.4720477E+01  0.5027513E+01  0.5333975E+01  0.5639742E+01  0.5945021E+01  0.6250127E+01  0.6555281E+01  0.6860577E+01
