 0.2000000E-02 -0.2716070E-02 -0.2054227E-02 -0.1389605E-02 -0.6882207E-03  0.1097976E-03  0.1125472E-02  0.2385940E-02  0.3457705E-02  0.3481276E-02  0.2903781E-02
 0.4000000E-02 -0.5431846E-02 -0.4108277E-02 -0.2779093E-02 -0.1376363E-02  0.2196555E-03  0.2250992E-02  0.4771869E-02  0.6915188E-02  0.6962207E-02  0.5806927E-02
 0.6000000E-02 -0.8147298E-02 -0.6162139E-02 -0.4168454E-02 -0.2064418E-02  0.3295854E-03  0.3376578E-02  0.7157805E-02  0.1037243E-01  0.1044276E-01  0.8709195E-02
 0.8000000E-02 -0.1086240E-01 -0.8215803E-02 -0.5557680E-02 -0.2752380E-02  0.4395988E-03  0.4502247E-02  0.9543769E-02  0.1382943E-01  0.1392290E-01  0.1161034E-01
 0.1000000E-01 -0.1357711E-01 -0.1026926E-01 -0.6946763E-02 -0.3440240E-02  0.5497073E-03  0.5628018E-02  0.1192978E-01  0.1728615E-01  0.1740259E-01  0.1451012E-01
 0.1200000E-01 -0.1629141E-01 -0.1232250E-01 -0.8335693E-02 -0.4127992E-02  0.6599225E-03  0.6753908E-02  0.1431585E-01  0.2074259E-01  0.2088180E-01  0.1740828E-01
 0.1400000E-01 -0.1900526E-01 -0.1437551E-01 -0.9724463E-02 -0.4815627E-02  0.7702560E-03  0.7879934E-02  0.1670201E-01  0.2419873E-01  0.2436050E-01  0.2030459E-01
 0.1600000E-01 -0.2171863E-01 -0.1642829E-01 -0.1111306E-01 -0.5503139E-02  0.8807192E-03  0.9006114E-02  0.1908828E-01  0.2765456E-01  0.2783864E-01  0.2319881E-01
 0.1800000E-01 -0.2443151E-01 -0.1848081E-01 -0.1250149E-01 -0.6190519E-02  0.9913239E-03  0.1013247E-01  0.2147466E-01  0.3111006E-01  0.3131621E-01  0.2609068E-01
 0.2000000E-01 -0.2714384E-01 -0.2053308E-01 -0.1388972E-01 -0.6877760E-02  0.1102082E-02  0.1125901E-01  0.2386119E-01  0.3456521E-01  0.3479316E-01  0.2897998E-01
 0.2200000E-01 -0.2985562E-01 -0.2258509E-01 -0.1527776E-01 -0.7564854E-02  0.1213004E-02  0.1238575E-01  0.2624788E-01  0.3802000E-01  0.3826946E-01  0.3186646E-01
 0.2400000E-01 -0.3256680E-01 -0.2463681E-01 -0.1666560E-01 -0.8251794E-02  0.1324102E-02  0.1351272E-01  0.2863474E-01  0.4147441E-01  0.4174508E-01  0.3474988E-01
 0.2600000E-01 -0.3527735E-01 -0.2668825E-01 -0.1805323E-01 -0.8938573E-02  0.1435388E-02  0.1463994E-01  0.3102181E-01  0.4492843E-01  0.4521998E-01  0.3763001E-01
 0.2800000E-01 -0.3798726E-01 -0.2873940E-01 -0.1944063E-01 -0.9625182E-02  0.1546873E-02  0.1576741E-01  0.3340909E-01  0.4838204E-01  0.4869413E-01  0.4050660E-01
 0.3000000E-01 -0.4069648E-01 -0.3079023E-01 -0.2082781E-01 -0.1031161E-01  0.1658569E-02  0.1689516E-01  0.3579661E-01  0.5183523E-01  0.5216749E-01  0.4337943E-01
