-0.2877376E+01 -0.3252694E+01  0.7235183E+00  0.8755359E-01
-0.2880333E+01 -0.2524266E+01  0.7042485E+00  0.6347213E-01
-0.2881876E+01 -0.1789385E+01  0.6985812E+00  0.1455652E-01
-0.2882105E+01 -0.1068306E+01  0.6965336E+00  0.3892710E-02
-0.2882166E+01 -0.3552619E+00  0.6965104E+00  0.8892138E-03
-0.2882166E+01  0.3552619E+00  0.6965104E+00 -0.8892138E-03
-0.2882105E+01  0.1068306E+01  0.6965336E+00 -0.3892710E-02
-0.2881876E+01  0.1789385E+01  0.6985812E+00 -0.1455652E-01
-0.2880333E+01  0.2524266E+01  0.7042485E+00 -0.6347213E-01
-0.2877376E+01  0.3252694E+01  0.7235183E+00 -0.8755357E-01
-0.2156310E+01 -0.3255352E+01  0.2966113E+00  0.6510297E-01
-0.2156678E+01 -0.2525663E+01  0.2954238E+00  0.6212662E-01
-0.2156695E+01 -0.1789639E+01  0.2963322E+00  0.1377346E-01
-0.2156718E+01 -0.1068351E+01  0.2966148E+00  0.3796163E-02
-0.2156726E+01 -0.3552689E+00  0.2966570E+00  0.9087698E-03
-0.2156726E+01  0.3552689E+00  0.2966570E+00 -0.9087698E-03
-0.2156718E+01  0.1068351E+01  0.2966148E+00 -0.3796163E-02
-0.2156695E+01  0.1789639E+01  0.2963322E+00 -0.1377346E-01
-0.2156678E+01  0.2525663E+01  0.2954238E+00 -0.6212662E-01
-0.2156310E+01  0.3255352E+01  0.2966113E+00 -0.6510297E-01
-0.1535772E+01 -0.3255610E+01  0.4061878E+00  0.6430205E-01
-0.1536011E+01 -0.2525663E+01  0.4057808E+00  0.6254255E-01
-0.1536136E+01 -0.1789634E+01  0.4054869E+00  0.1394381E-01
-0.1536166E+01 -0.1068346E+01  0.4053783E+00  0.3829630E-02
-0.1536176E+01 -0.3552671E+00  0.4053641E+00  0.9121147E-03
-0.1536176E+01  0.3552671E+00  0.4053641E+00 -0.9121147E-03
-0.1536166E+01  0.1068346E+01  0.4053783E+00 -0.3829630E-02
-0.1536136E+01  0.1789634E+01  0.4054869E+00 -0.1394381E-01
-0.1536011E+01  0.2525663E+01  0.4057808E+00 -0.6254255E-01
-0.1535772E+01  0.3255610E+01  0.4061878E+00 -0.6430205E-01
-0.9147285E+00 -0.3255766E+01  0.4726943E+00  0.6308986E-01
-0.9149993E+00 -0.2525787E+01  0.4714516E+00  0.6206040E-01
-0.9151355E+00 -0.1789648E+01  0.4710389E+00  0.1377376E-01
-0.9151668E+00 -0.1068346E+01  0.4709163E+00  0.3796299E-02
-0.9151761E+00 -0.3552669E+00  0.4708980E+00  0.9086340E-03
-0.9151761E+00  0.3552669E+00  0.4708980E+00 -0.9086340E-03
-0.9151668E+00  0.1068346E+01  0.4709163E+00 -0.3796299E-02
-0.9151355E+00  0.1789648E+01  0.4710389E+00 -0.1377376E-01
-0.9149993E+00  0.2525787E+01  0.4714516E+00 -0.6206040E-01
