 0.2976243E+01  0.2526920E+01  0.1346526E+00 -0.6163060E-01
 0.3012774E+01  0.3259397E+01  0.2350712E+00 -0.1010693E+00
 0.3032109E+01 -0.3259656E+01  0.2498557E+00  0.9402933E-01
 0.2993420E+01 -0.2526644E+01  0.1417426E+00  0.6211977E-01
 0.2999342E+01 -0.1790163E+01  0.1568063E+00  0.1342652E-01
 0.2999340E+01 -0.1068514E+01  0.1576602E+00  0.3931801E-02
 0.2998891E+01 -0.3553071E+00  0.1565304E+00  0.9773482E-03
 0.2998891E+01  0.3553071E+00  0.1565304E+00 -0.9773482E-03
 0.2999340E+01  0.1068514E+01  0.1576602E+00 -0.3931801E-02
 0.2999342E+01  0.1790163E+01  0.1568063E+00 -0.1342652E-01
 0.2993420E+01  0.2526644E+01  0.1417426E+00 -0.6211977E-01
 0.3032109E+01  0.3259656E+01  0.2498557E+00 -0.9402932E-01
