 0.1500000E+01  0.7321476E-03  0.9476690E-02  0.4450182E-01  0.1140257E+00  0.1789635E+00  0.2560257E+00  0.4371627E+00  0.7739864E+00  0.1433507E+01  0.1812683E+01  0.9268208E+00  0.6337915E+00  0.3707389E+00  0.2288571E+00  0.8250028E-01
 0.1501000E+01  0.6942051E-03  0.1077524E-01  0.4084428E-01  0.1035378E+00  0.1698025E+00  0.2723355E+00  0.4597505E+00  0.7697343E+00  0.1398250E+01  0.1760113E+01  0.9271628E+00  0.6461092E+00  0.3727981E+00  0.2386778E+00  0.8902459E-01
 0.1502000E+01  0.7467335E-03  0.1229566E-01  0.3848450E-01  0.9502660E-01  0.1619844E+00  0.2927852E+00  0.4863679E+00  0.7661971E+00  0.1364358E+01  0.1710492E+01  0.9308731E+00  0.6611737E+00  0.3756334E+00  0.2497170E+00  0.9652600E-01
 0.1503000E+01  0.7757135E-03  0.1308398E-01  0.3819625E-01  0.9117354E-01  0.1574403E+00  0.3176388E+00  0.5185163E+00  0.7667606E+00  0.1333333E+01  0.1664482E+01  0.9383095E+00  0.6787272E+00  0.3782324E+00  0.2589877E+00  0.1030320E+00
 0.1504000E+01  0.7807092E-03  0.1353860E-01  0.3861100E-01  0.8895947E-01  0.1543645E+00  0.3462369E+00  0.5555128E+00  0.7704938E+00  0.1304778E+01  0.1621911E+01  0.9480572E+00  0.6983987E+00  0.3819764E+00  0.2684837E+00  0.1095283E+00
 0.1505000E+01  0.7918305E-03  0.1392354E-01  0.3907833E-01  0.8719803E-01  0.1523710E+00  0.3783107E+00  0.5966868E+00  0.7766437E+00  0.1278383E+01  0.1582496E+01  0.9589938E+00  0.7193433E+00  0.3870369E+00  0.2786330E+00  0.1162796E+00
 0.1506000E+01  0.8111665E-03  0.1425463E-01  0.3954082E-01  0.8578976E-01  0.1515118E+00  0.4140055E+00  0.6418667E+00  0.7848160E+00  0.1253891E+01  0.1545814E+01  0.9703200E+00  0.7408667E+00  0.3934313E+00  0.2896933E+00  0.1234382E+00
 0.1507000E+01  0.8411390E-03  0.1454670E-01  0.3997810E-01  0.8461215E-01  0.1517271E+00  0.4534327E+00  0.6909553E+00  0.7946688E+00  0.1231023E+01  0.1511412E+01  0.9815225E+00  0.7624700E+00  0.4010920E+00  0.3018355E+00  0.1311146E+00
 0.1508000E+01  0.8823329E-03  0.1480580E-01  0.4037507E-01  0.8357300E-01  0.1529782E+00  0.4967583E+00  0.7439651E+00  0.8059467E+00  0.1209542E+01  0.1478901E+01  0.9923014E+00  0.7838200E+00  0.4099315E+00  0.3151925E+00  0.1393988E+00
 0.1509000E+01  0.9336173E-03  0.1503334E-01  0.4072078E-01  0.8260511E-01  0.1552636E+00  0.5442324E+00  0.8010160E+00  0.8184707E+00  0.1189259E+01  0.1447974E+01  0.1002489E+01  0.8046972E+00  0.4198752E+00  0.3298900E+00  0.1483753E+00
 0.1510000E+01  0.9929105E-03  0.1522966E-01  0.4100828E-01  0.8166365E-01  0.1586231E+00  0.5961771E+00  0.8623060E+00  0.8321160E+00  0.1170026E+01  0.1418396E+01  0.1011992E+01  0.8249560E+00  0.4308698E+00  0.3460606E+00  0.1581315E+00
 0.1511000E+01  0.1057646E-02  0.1539524E-01  0.4123599E-01  0.8072694E-01  0.1631270E+00  0.6529566E+00  0.9280796E+00  0.8467918E+00  0.1151725E+01  0.1389981E+01  0.1020762E+01  0.8444979E+00  0.4428843E+00  0.3638493E+00  0.1687611E+00
