 0.4400000E-01 -0.2072170E+00 -0.1743251E+00 -0.1363505E+00 -0.9242744E-01 -0.4464281E-01  0.2607105E-02  0.4523313E-01  0.8185873E-01  0.1138943E+00  0.1438873E+00  0.1738350E+00  0.2045812E+00  0.2359908E+00
 0.4600000E-01 -0.2165324E+00 -0.1821652E+00 -0.1424849E+00 -0.9659258E-01 -0.4666092E-01  0.2722381E-02  0.4728618E-01  0.8558181E-01  0.1190642E+00  0.1503906E+00  0.1816695E+00  0.2137918E+00  0.2466147E+00
 0.4800000E-01 -0.2258360E+00 -0.1899955E+00 -0.1486118E+00 -0.1007533E+00 -0.4867775E-01  0.2837285E-02  0.4933907E-01  0.8930543E-01  0.1242337E+00  0.1568900E+00  0.1894964E+00  0.2229922E+00  0.2572273E+00
 0.5000000E-01 -0.2351275E+00 -0.1978155E+00 -0.1547308E+00 -0.1049096E+00 -0.5069327E-01  0.2951816E-02  0.5139180E-01  0.9302963E-01  0.1294028E+00  0.1633857E+00  0.1973155E+00  0.2321820E+00  0.2678281E+00
 0.5200000E-01 -0.2444067E+00 -0.2056250E+00 -0.1608418E+00 -0.1090612E+00 -0.5270743E-01  0.3065971E-02  0.5344440E-01  0.9675441E-01  0.1345714E+00  0.1698774E+00  0.2051265E+00  0.2413610E+00  0.2784170E+00
 0.5400000E-01 -0.2536732E+00 -0.2134237E+00 -0.1669444E+00 -0.1132080E+00 -0.5472019E-01  0.3179752E-02  0.5549686E-01  0.1004798E+00  0.1397396E+00  0.1763653E+00  0.2129294E+00  0.2505287E+00  0.2889935E+00
 0.5600000E-01 -0.2629269E+00 -0.2212113E+00 -0.1730385E+00 -0.1173498E+00 -0.5673152E-01  0.3293161E-02  0.5754921E-01  0.1042058E+00  0.1449075E+00  0.1828492E+00  0.2207238E+00  0.2596850E+00  0.2995573E+00
 0.5800000E-01 -0.2721673E+00 -0.2289874E+00 -0.1791238E+00 -0.1214865E+00 -0.5874137E-01  0.3406200E-02  0.5960146E-01  0.1079324E+00  0.1500748E+00  0.1893293E+00  0.2285098E+00  0.2688295E+00  0.3101079E+00
 0.6000000E-01 -0.2813943E+00 -0.2367517E+00 -0.1852001E+00 -0.1256179E+00 -0.6074969E-01  0.3518876E-02  0.6165362E-01  0.1116596E+00  0.1552418E+00  0.1958054E+00  0.2362870E+00  0.2779619E+00  0.3206449E+00
 0.6200000E-01 -0.2906076E+00 -0.2445039E+00 -0.1912671E+00 -0.1297440E+00 -0.6275644E-01  0.3631195E-02  0.6370570E-01  0.1153874E+00  0.1604083E+00  0.2022776E+00  0.2440553E+00  0.2870817E+00  0.3311679E+00
 0.6400000E-01 -0.2998070E+00 -0.2522438E+00 -0.1973245E+00 -0.1338644E+00 -0.6476157E-01  0.3743164E-02  0.6575771E-01  0.1191159E+00  0.1655744E+00  0.2087459E+00  0.2518147E+00  0.2961888E+00  0.3416765E+00
 0.6600000E-01 -0.3089921E+00 -0.2599710E+00 -0.2033723E+00 -0.1379792E+00 -0.6676504E-01  0.3854793E-02  0.6780967E-01  0.1228449E+00  0.1707400E+00  0.2152103E+00  0.2595650E+00  0.3052828E+00  0.3521701E+00
 0.6800000E-01 -0.3181629E+00 -0.2676852E+00 -0.2094100E+00 -0.1420881E+00 -0.6876680E-01  0.3966092E-02  0.6986157E-01  0.1265745E+00  0.1759051E+00  0.2216707E+00  0.2673061E+00  0.3143634E+00  0.3626482E+00
 0.7000000E-01 -0.3273190E+00 -0.2753861E+00 -0.2154375E+00 -0.1461910E+00 -0.7076680E-01  0.4077073E-02  0.7191343E-01  0.1303046E+00  0.1810697E+00  0.2281272E+00  0.2750378E+00  0.3234302E+00  0.3731104E+00
 0.7200000E-01 -0.3364603E+00 -0.2830736E+00 -0.2214546E+00 -0.1502878E+00 -0.7276498E-01  0.4187749E-02  0.7396526E-01  0.1340353E+00  0.1862338E+00  0.2345799E+00  0.2827600E+00  0.3324829E+00  0.3835560E+00
 0.7400000E-01 -0.3455866E+00 -0.2907472E+00 -0.2274610E+00 -0.1543783E+00 -0.7476130E-01  0.4298134E-02  0.7601705E-01  0.1377665E+00  0.1913973E+00  0.2410286E+00  0.2904728E+00  0.3415212E+00  0.3939846E+00
 0.7600000E-01 -0.3546976E+00 -0.2984067E+00 -0.2334565E+00 -0.1584624E+00 -0.7675570E-01  0.4408243E-02  0.7806882E-01  0.1414982E+00  0.1965603E+00  0.2474735E+00  0.2981760E+00  0.3505447E+00  0.4043954E+00
 0.7800000E-01 -0.3637931E+00 -0.3060519E+00 -0.2394408E+00 -0.1625399E+00 -0.7874813E-01  0.4518092E-02  0.8012057E-01  0.1452303E+00  0.2017226E+00  0.2539144E+00  0.3058695E+00  0.3595532E+00  0.4147880E+00
 0.8000000E-01 -0.3728730E+00 -0.3136824E+00 -0.2454137E+00 -0.1666107E+00 -0.8073852E-01  0.4627699E-02  0.8217230E-01  0.1489629E+00  0.2068844E+00  0.2603515E+00  0.3135532E+00  0.3685463E+00  0.4251616E+00
 0.8200000E-01 -0.3819370E+00 -0.3212980E+00 -0.2513751E+00 -0.1706747E+00 -0.8272681E-01  0.4737080E-02  0.8422400E-01  0.1526959E+00  0.2120454E+00  0.2667848E+00  0.3212272E+00  0.3775236E+00  0.4355158E+00
 0.8400000E-01 -0.3909849E+00 -0.3288986E+00 -0.2573246E+00 -0.1747316E+00 -0.8471295E-01  0.4846255E-02  0.8627567E-01  0.1564292E+00  0.2172058E+00  0.2732141E+00  0.3288915E+00  0.3864849E+00  0.4458498E+00
 0.8600000E-01 -0.4000166E+00 -0.3364837E+00 -0.2632620E+00 -0.1787815E+00 -0.8669687E-01  0.4955241E-02  0.8832732E-01  0.1601629E+00  0.2223655E+00  0.2796396E+00  0.3365459E+00  0.3954299E+00  0.4561631E+00
 0.8800000E-01 -0.4090317E+00 -0.3440532E+00 -0.2691872E+00 -0.1828241E+00 -0.8867851E-01  0.5064059E-02  0.9037892E-01  0.1638969E+00  0.2275243E+00  0.2860613E+00  0.3441904E+00  0.4043582E+00  0.4664551E+00
 0.9000000E-01 -0.4180302E+00 -0.3516069E+00 -0.2750998E+00 -0.1868593E+00 -0.9065779E-01  0.5172729E-02  0.9243048E-01  0.1676311E+00  0.2326824E+00  0.2924790E+00  0.3518251E+00  0.4132695E+00  0.4767251E+00
