 0.0000000E+00  0.1743167E-03  0.3199164E-03  0.2098629E-02  0.5993968E-02  0.1793028E-01  0.4150074E-01  0.8352166E-01  0.1395297E+00  0.1973716E+00  0.2343455E+00  0.2343455E+00  0.1973716E+00  0.1395297E+00  0.8352166E-01  0.4150074E-01  0.1793028E-01  0.5993968E-02  0.2098629E-02  0.3199164E-03  0.1743167E-03
 0.1000000E-01  0.1743170E-03  0.3199181E-03  0.2098627E-02  0.5993973E-02  0.1793027E-01  0.4150075E-01  0.8352165E-01  0.1395297E+00  0.1973716E+00  0.2343455E+00  0.2343455E+00  0.1973716E+00  0.1395297E+00  0.8352167E-01  0.4150074E-01  0.1793028E-01  0.5993967E-02  0.2098630E-02  0.3199163E-03  0.1743167E-03
 0.2000000E-01  0.1743177E-03  0.3199230E-03  0.2098621E-02  0.5993988E-02  0.1793025E-01  0.4150076E-01  0.8352162E-01  0.1395297E+00  0.1973716E+00  0.2343455E+00  0.2343455E+00  0.1973717E+00  0.1395296E+00  0.8352168E-01  0.4150073E-01  0.1793029E-01  0.5993965E-02  0.2098631E-02  0.3199159E-03  0.1743168E-03
 0.3000000E-01  0.1743187E-03  0.3199312E-03  0.2098610E-02  0.5994012E-02  0.1793021E-01  0.4150080E-01  0.8352157E-01  0.1395297E+00  0.1973716E+00  0.2343456E+00  0.2343454E+00  0.1973717E+00  0.1395296E+00  0.8352169E-01  0.4150072E-01  0.1793029E-01  0.5993961E-02  0.2098633E-02  0.3199153E-03  0.1743169E-03
 0.4000000E-01  0.1743202E-03  0.3199428E-03  0.2098594E-02  0.5994047E-02  0.1793016E-01  0.4150084E-01  0.8352150E-01  0.1395298E+00  0.1973715E+00  0.2343456E+00  0.2343454E+00  0.1973717E+00  0.1395296E+00  0.8352172E-01  0.4150070E-01  0.1793031E-01  0.5993956E-02  0.2098636E-02  0.3199144E-03  0.1743172E-03
 0.5000000E-01  0.1743221E-03  0.3199576E-03  0.2098574E-02  0.5994091E-02  0.1793009E-01  0.4150090E-01  0.8352140E-01  0.1395299E+00  0.1973714E+00  0.2343457E+00  0.2343454E+00  0.1973718E+00  0.1395296E+00  0.8352175E-01  0.4150068E-01  0.1793032E-01  0.5993948E-02  0.2098640E-02  0.3199132E-03  0.1743175E-03
 0.6000000E-01  0.1743244E-03  0.3199757E-03  0.2098549E-02  0.5994145E-02  0.1793001E-01  0.4150098E-01  0.8352129E-01  0.1395300E+00  0.1973713E+00  0.2343458E+00  0.2343453E+00  0.1973719E+00  0.1395295E+00  0.8352179E-01  0.4150066E-01  0.1793034E-01  0.5993940E-02  0.2098645E-02  0.3199118E-03  0.1743178E-03
 0.7000000E-01  0.1743271E-03  0.3199971E-03  0.2098520E-02  0.5994209E-02  0.1792991E-01  0.4150106E-01  0.8352115E-01  0.1395301E+00  0.1973712E+00  0.2343459E+00  0.2343452E+00  0.1973719E+00  0.1395295E+00  0.8352183E-01  0.4150063E-01  0.1793036E-01  0.5993929E-02  0.2098650E-02  0.3199101E-03  0.1743182E-03
 0.8000000E-01  0.1743301E-03  0.3200218E-03  0.2098486E-02  0.5994282E-02  0.1792979E-01  0.4150116E-01  0.8352099E-01  0.1395302E+00  0.1973711E+00  0.2343461E+00  0.2343451E+00  0.1973720E+00  0.1395294E+00  0.8352188E-01  0.4150059E-01  0.1793038E-01  0.5993917E-02  0.2098657E-02  0.3199081E-03  0.1743187E-03
 0.9000000E-01  0.1743336E-03  0.3200499E-03  0.2098448E-02  0.5994366E-02  0.1792966E-01  0.4150128E-01  0.8352081E-01  0.1395303E+00  0.1973710E+00  0.2343462E+00  0.2343450E+00  0.1973721E+00  0.1395293E+00  0.8352194E-01  0.4150055E-01  0.1793041E-01  0.5993904E-02  0.2098664E-02  0.3199059E-03  0.1743192E-03
 0.1000000E+00  0.1743375E-03  0.3200812E-03  0.2098405E-02  0.5994459E-02  0.1792952E-01  0.4150140E-01  0.8352061E-01  0.1395305E+00  0.1973708E+00  0.2343464E+00  0.2343449E+00  0.1973722E+00  0.1395292E+00  0.8352200E-01  0.4150051E-01  0.1793044E-01  0.5993889E-02  0.2098672E-02  0.3199034E-03  0.1743198E-03
 0.1100000E+00  0.1743417E-03  0.3201158E-03  0.2098358E-02  0.5994562E-02  0.1792935E-01  0.4150154E-01  0.8352039E-01  0.1395307E+00  0.1973707E+00  0.2343466E+00  0.2343448E+00  0.1973724E+00  0.1395292E+00  0.8352207E-01  0.4150046E-01  0.1793047E-01  0.5993872E-02  0.2098681E-02  0.3199007E-03  0.1743205E-03
 0.1200000E+00  0.1743464E-03  0.3201537E-03  0.2098306E-02  0.5994675E-02  0.1792918E-01  0.4150169E-01  0.8352015E-01  0.1395309E+00  0.1973705E+00  0.2343468E+00  0.2343447E+00  0.1973725E+00  0.1395291E+00  0.8352215E-01  0.4150041E-01  0.1793051E-01  0.5993854E-02  0.2098690E-02  0.3198977E-03  0.1743212E-03
 0.1300000E+00  0.1743515E-03  0.3201949E-03  0.2098250E-02  0.5994797E-02  0.1792899E-01  0.4150186E-01  0.8351989E-01  0.1395311E+00  0.1973703E+00  0.2343470E+00  0.2343446E+00  0.1973727E+00  0.1395289E+00  0.8352223E-01  0.4150035E-01  0.1793055E-01  0.5993834E-02  0.2098701E-02  0.3198945E-03  0.1743220E-03
