 0.1000000E-02  0.3988242E+01  0.3989265E+01  0.3990287E+01  0.3991310E+01  0.3992332E+01  0.3993354E+01  0.3994377E+01  0.3995399E+01  0.3996422E+01  0.3997444E+01  0.3998466E+01  0.3999488E+01  0.4000510E+01  0.4001532E+01  0.4002553E+01  0.4003573E+01  0.4004590E+01  0.4005603E+01  0.4006607E+01  0.4007596E+01  0.4008554E+01  0.4009455E+01  0.4010250E+01  0.4010848E+01
 0.2000000E-02  0.3976485E+01  0.3978530E+01  0.3980575E+01  0.3982619E+01  0.3984664E+01  0.3986709E+01  0.3988754E+01  0.3990798E+01  0.3992843E+01  0.3994888E+01  0.3996932E+01  0.3998977E+01  0.4001021E+01  0.4003064E+01  0.4005106E+01  0.4007145E+01  0.4009180E+01  0.4011206E+01  0.4013214E+01  0.4015191E+01  0.4017106E+01  0.4018907E+01  0.4020494E+01  0.4021686E+01
 0.3000000E-02  0.3964728E+01  0.3967795E+01  0.3970862E+01  0.3973929E+01  0.3976997E+01  0.3980064E+01  0.3983131E+01  0.3986198E+01  0.3989265E+01  0.3992332E+01  0.3995399E+01  0.3998465E+01  0.4001531E+01  0.4004596E+01  0.4007659E+01  0.4010718E+01  0.4013770E+01  0.4016808E+01  0.4019821E+01  0.4022785E+01  0.4025657E+01  0.4028357E+01  0.4030734E+01  0.4032516E+01
 0.4000000E-02  0.3952971E+01  0.3957061E+01  0.3961150E+01  0.3965240E+01  0.3969329E+01  0.3973419E+01  0.3977508E+01  0.3981597E+01  0.3985687E+01  0.3989776E+01  0.3993865E+01  0.3997954E+01  0.4002041E+01  0.4006128E+01  0.4010212E+01  0.4014290E+01  0.4018359E+01  0.4022410E+01  0.4026427E+01  0.4030378E+01  0.4034206E+01  0.4037803E+01  0.4040968E+01  0.4043335E+01
 0.5000000E-02  0.3941215E+01  0.3946327E+01  0.3951439E+01  0.3956550E+01  0.3961662E+01  0.3966774E+01  0.3971885E+01  0.3976997E+01  0.3982109E+01  0.3987220E+01  0.3992331E+01  0.3997442E+01  0.4002552E+01  0.4007660E+01  0.4012764E+01  0.4017862E+01  0.4022949E+01  0.4028012E+01  0.4033032E+01  0.4037970E+01  0.4042753E+01  0.4047247E+01  0.4051197E+01  0.4054145E+01
 0.6000000E-02  0.3929460E+01  0.3935594E+01  0.3941728E+01  0.3947862E+01  0.3953996E+01  0.3960129E+01  0.3966263E+01  0.3972397E+01  0.3978531E+01  0.3984664E+01  0.3990798E+01  0.3996930E+01  0.4003062E+01  0.4009191E+01  0.4015317E+01  0.4021434E+01  0.4027537E+01  0.4033613E+01  0.4039636E+01  0.4045561E+01  0.4051299E+01  0.4056687E+01  0.4061420E+01  0.4064945E+01
 0.7000000E-02  0.3917705E+01  0.3924861E+01  0.3932017E+01  0.3939173E+01  0.3946329E+01  0.3953486E+01  0.3960642E+01  0.3967797E+01  0.3974953E+01  0.3982109E+01  0.3989264E+01  0.3996419E+01  0.4003572E+01  0.4010723E+01  0.4017869E+01  0.4025006E+01  0.4032126E+01  0.4039213E+01  0.4046239E+01  0.4053150E+01  0.4059842E+01  0.4066123E+01  0.4071637E+01  0.4075734E+01
 0.8000000E-02  0.3905952E+01  0.3914130E+01  0.3922308E+01  0.3930486E+01  0.3938664E+01  0.3946842E+01  0.3955020E+01  0.3963198E+01  0.3971376E+01  0.3979554E+01  0.3987731E+01  0.3995907E+01  0.4004082E+01  0.4012254E+01  0.4020421E+01  0.4028577E+01  0.4036713E+01  0.4044813E+01  0.4052842E+01  0.4060738E+01  0.4068383E+01  0.4075556E+01  0.4081847E+01  0.4086513E+01
 0.9000000E-02  0.3894199E+01  0.3903399E+01  0.3912599E+01  0.3921799E+01  0.3930999E+01  0.3940199E+01  0.3949399E+01  0.3958599E+01  0.3967799E+01  0.3976999E+01  0.3986198E+01  0.3995396E+01  0.4004592E+01  0.4013785E+01  0.4022972E+01  0.4032148E+01  0.4041301E+01  0.4050412E+01  0.4059443E+01  0.4068324E+01  0.4076922E+01  0.4084985E+01  0.4092052E+01  0.4097281E+01
 0.1000000E-01  0.3882448E+01  0.3892670E+01  0.3902892E+01  0.3913114E+01  0.3923336E+01  0.3933558E+01  0.3943779E+01  0.3954001E+01  0.3964223E+01  0.3974444E+01  0.3984665E+01  0.3994884E+01  0.4005102E+01  0.4015317E+01  0.4025524E+01  0.4035718E+01  0.4045887E+01  0.4056010E+01  0.4066043E+01  0.4075909E+01  0.4085458E+01  0.4094411E+01  0.4102250E+01  0.4108037E+01
