 0.3000000E+01 -0.1428608E-01  0.1119603E-06  0.1954722E-01  0.5261252E-02
 0.6000000E+01 -0.1428643E-01  0.4371938E-06  0.1954723E-01  0.5261239E-02
 0.9000000E+01 -0.1428699E-01  0.9603516E-06  0.1954723E-01  0.5261203E-02
 0.1200000E+02 -0.1428777E-01  0.1666884E-05  0.1954724E-01  0.5261138E-02
 0.1500000E+02 -0.1428876E-01  0.2543005E-05  0.1954725E-01  0.5261033E-02
 0.1800000E+02 -0.1428996E-01  0.3575652E-05  0.1954727E-01  0.5260882E-02
 0.2100000E+02 -0.1429136E-01  0.4752460E-05  0.1954728E-01  0.5260676E-02
 0.2400000E+02 -0.1429295E-01  0.6061724E-05  0.1954730E-01  0.5260410E-02
 0.2700000E+02 -0.1429474E-01  0.7492366E-05  0.1954732E-01  0.5260077E-02
 0.3000000E+02 -0.1429671E-01  0.9033911E-05  0.1954734E-01  0.5259671E-02
 0.3300000E+02 -0.1429886E-01  0.1067646E-04  0.1954737E-01  0.5259188E-02
 0.3600000E+02 -0.1430118E-01  0.1241064E-04  0.1954739E-01  0.5258622E-02
 0.3900000E+02 -0.1430368E-01  0.1422764E-04  0.1954742E-01  0.5257970E-02
 0.4200000E+02 -0.1430634E-01  0.1611909E-04  0.1954745E-01  0.5257228E-02
 0.4500000E+02 -0.1430917E-01  0.1807714E-04  0.1954748E-01  0.5256393E-02
 0.4800000E+02 -0.1431215E-01  0.2009435E-04  0.1954752E-01  0.5255461E-02
 0.5100000E+02 -0.1431529E-01  0.2216373E-04  0.1954755E-01  0.5254429E-02
 0.5400000E+02 -0.1431857E-01  0.2427871E-04  0.1954759E-01  0.5253297E-02
 0.5700000E+02 -0.1432200E-01  0.2643307E-04  0.1954763E-01  0.5252060E-02
 0.6000000E+02 -0.1432557E-01  0.2862099E-04  0.1954767E-01  0.5250719E-02
 0.6300000E+02 -0.1432928E-01  0.3083698E-04  0.1954771E-01  0.5249270E-02
 0.6600000E+02 -0.1433312E-01  0.3307591E-04  0.1954775E-01  0.5247714E-02
 0.6900000E+02 -0.1433708E-01  0.3533295E-04  0.1954780E-01  0.5246049E-02
 0.7200000E+02 -0.1434118E-01  0.3760356E-04  0.1954785E-01  0.5244274E-02
 0.7500000E+02 -0.1434539E-01  0.3988350E-04  0.1954789E-01  0.5242388E-02
 0.7800000E+02 -0.1434972E-01  0.4216882E-04  0.1954794E-01  0.5240392E-02
 0.8100000E+02 -0.1435416E-01  0.4445580E-04  0.1954799E-01  0.5238285E-02
 0.8400000E+02 -0.1435874E-01  0.4674099E-04  0.1954804E-01  0.5236043E-02
 0.8700000E+02 -0.1436343E-01  0.4902116E-04  0.1954810E-01  0.5233691E-02
 0.9000000E+02 -0.1436819E-01  0.5129330E-04  0.1954815E-01  0.5231253E-02
 0.9300000E+02 -0.1437306E-01  0.5355463E-04  0.1954821E-01  0.5228704E-02
 0.9600000E+02 -0.1437802E-01  0.5580255E-04  0.1954826E-01  0.5226046E-02
 0.9900000E+02 -0.1438308E-01  0.5803464E-04  0.1954832E-01  0.5223280E-02
 0.1020000E+03 -0.1438822E-01  0.6024871E-04  0.1954838E-01  0.5220406E-02
 0.1050000E+03 -0.1439346E-01  0.6244269E-04  0.1954844E-01  0.5217426E-02
 0.1080000E+03 -0.1439877E-01  0.6461469E-04  0.1954850E-01  0.5214340E-02
 0.1110000E+03 -0.1440417E-01  0.6676297E-04  0.1954856E-01  0.5211149E-02
 0.1140000E+03 -0.1440966E-01  0.6888593E-04  0.1954862E-01  0.5207854E-02
 0.1170000E+03 -0.1441521E-01  0.7098213E-04  0.1954869E-01  0.5204457E-02
 0.1200000E+03 -0.1442084E-01  0.7305024E-04  0.1954875E-01  0.5200960E-02
 0.1230000E+03 -0.1442654E-01  0.7508906E-04  0.1954882E-01  0.5197364E-02
 0.1260000E+03 -0.1443233E-01  0.7709750E-04  0.1954888E-01  0.5193646E-02
 0.1290000E+03 -0.1443817E-01  0.7907458E-04  0.1954895E-01  0.5189855E-02
 0.1320000E+03 -0.1444407E-01  0.8101943E-04  0.1954902E-01  0.5185969E-02
 0.1350000E+03 -0.1445003E-01  0.8293127E-04  0.1954908E-01  0.5181990E-02
 0.1380000E+03 -0.1445604E-01  0.8480942E-04  0.1954915E-01  0.5177919E-02
 0.1410000E+03 -0.1446212E-01  0.8665328E-04  0.1954922E-01  0.5173758E-02
 0.1440000E+03 -0.1446825E-01  0.8846234E-04  0.1954929E-01  0.5169508E-02
 0.1470000E+03 -0.1447443E-01  0.9023615E-04  0.1954936E-01  0.5165172E-02
 0.1500000E+03 -0.1448066E-01  0.9197436E-04  0.1954944E-01  0.5160752E-02
 0.1530000E+03 -0.1448694E-01  0.9367665E-04  0.1954951E-01  0.5156247E-02
 0.1560000E+03 -0.1449326E-01  0.9534281E-04  0.1954958E-01  0.5151662E-02
 0.1590000E+03 -0.1449963E-01  0.9697264E-04  0.1954965E-01  0.5146996E-02
 0.1620000E+03 -0.1450604E-01  0.9856605E-04  0.1954973E-01  0.5142253E-02
 0.1650000E+03 -0.1451249E-01  0.1001230E-03  0.1954980E-01  0.5137434E-02
 0.1680000E+03 -0.1451898E-01  0.1016433E-03  0.1954988E-01  0.5132540E-02
 0.1710000E+03 -0.1452551E-01  0.1031272E-03  0.1954995E-01  0.5127573E-02
 0.1740000E+03 -0.1453207E-01  0.1045747E-03  0.1955003E-01  0.5122536E-02
 0.1770000E+03 -0.1453866E-01  0.1059859E-03  0.1955010E-01  0.5117430E-02
 0.1800000E+03 -0.1454528E-01  0.1073609E-03  0.1955018E-01  0.5112256E-02
 0.1830000E+03 -0.1455194E-01  0.1087000E-03  0.1955026E-01  0.5107016E-02
 0.1860000E+03 -0.1455862E-01  0.1100033E-03  0.1955033E-01  0.5101713E-02
 0.1890000E+03 -0.1456533E-01  0.1112711E-03  0.1955041E-01  0.5096347E-02
 0.1920000E+03 -0.1457207E-01  0.1125037E-03  0.1955049E-01  0.5090922E-02
 0.1950000E+03 -0.1457883E-01  0.1137013E-03  0.1955057E-01  0.5085437E-02
 0.1980000E+03 -0.1458561E-01  0.1148643E-03  0.1955065E-01  0.5079896E-02
 0.2010000E+03 -0.1459242E-01  0.1159930E-03  0.1955072E-01  0.5074299E-02
 0.2040000E+03 -0.1459924E-01  0.1170878E-03  0.1955080E-01  0.5068649E-02
 0.2070000E+03 -0.1460609E-01  0.1181491E-03  0.1955088E-01  0.5062946E-02
 0.2100000E+03 -0.1461295E-01  0.1191773E-03  0.1955096E-01  0.5057192E-02
 0.2130000E+03 -0.1461982E-01  0.1201727E-03  0.1955104E-01  0.5051390E-02
 0.2160000E+03 -0.1462672E-01  0.1211359E-03  0.1955112E-01  0.5045540E-02
 0.2190000E+03 -0.1463362E-01  0.1220671E-03  0.1955120E-01  0.5039645E-02
 0.2220000E+03 -0.1464054E-01  0.1229670E-03  0.1955128E-01  0.5033706E-02
 0.2250000E+03 -0.1464747E-01  0.1238359E-03  0.1955136E-01  0.5027725E-02
 0.2280000E+03 -0.1465442E-01  0.1246743E-03  0.1955144E-01  0.5021701E-02
 0.2310000E+03 -0.1466137E-01  0.1254827E-03  0.1955152E-01  0.5015637E-02
 0.2340000E+03 -0.1466833E-01  0.1262616E-03  0.1955160E-01  0.5009535E-02
 0.2370000E+03 -0.1467530E-01  0.1270114E-03  0.1955168E-01  0.5003397E-02
 0.2400000E+03 -0.1468227E-01  0.1277326E-03  0.1955177E-01  0.4997223E-02
 0.2430000E+03 -0.1468926E-01  0.1284258E-03  0.1955185E-01  0.4991015E-02
 0.2460000E+03 -0.1469624E-01  0.1290913E-03  0.1955193E-01  0.4984774E-02
 0.2490000E+03 -0.1470324E-01  0.1297298E-03  0.1955201E-01  0.4978501E-02
 0.2520000E+03 -0.1471023E-01  0.1303416E-03  0.1955209E-01  0.4972199E-02
 0.2550000E+03 -0.1471723E-01  0.1309274E-03  0.1955217E-01  0.4965867E-02
 0.2580000E+03 -0.1472423E-01  0.1314876E-03  0.1955225E-01  0.4959508E-02
 0.2610000E+03 -0.1473123E-01  0.1320227E-03  0.1955233E-01  0.4953123E-02
 0.2640000E+03 -0.1473823E-01  0.1325332E-03  0.1955241E-01  0.4946713E-02
 0.2670000E+03 -0.1474524E-01  0.1330195E-03  0.1955250E-01  0.4940278E-02
 0.2700000E+03 -0.1475224E-01  0.1334823E-03  0.1955258E-01  0.4933820E-02
 0.2730000E+03 -0.1475924E-01  0.1339219E-03  0.1955266E-01  0.4927340E-02
 0.2760000E+03 -0.1476624E-01  0.1343388E-03  0.1955274E-01  0.4920840E-02
 0.2790000E+03 -0.1477323E-01  0.1347336E-03  0.1955282E-01  0.4914321E-02
 0.2820000E+03 -0.1478025E-01  0.1351067E-03  0.1955290E-01  0.4907760E-02
 0.2850000E+03 -0.1478724E-01  0.1354586E-03  0.1955298E-01  0.4901205E-02
 0.2880000E+03 -0.1479422E-01  0.1357898E-03  0.1955306E-01  0.4894632E-02
 0.2910000E+03 -0.1480120E-01  0.1361007E-03  0.1955314E-01  0.4888044E-02
