 0.2000000E-02  0.9999606E+00 -0.8830798E-02  0.1204373E+01 -0.9718071E-02  0.7955483E+00 -0.7943524E-02
 0.4000000E-02  0.9998842E+00 -0.1471754E-01  0.1204293E+01 -0.1619632E-01  0.7954752E+00 -0.1323875E-01
 0.6000000E-02  0.9997710E+00 -0.2060363E-01  0.1204177E+01 -0.2267395E-01  0.7953651E+00 -0.1853331E-01
 0.8000000E-02  0.9996209E+00 -0.2648882E-01  0.1204024E+01 -0.2915072E-01  0.7952180E+00 -0.2382692E-01
 0.1000000E-01  0.9994339E+00 -0.3237285E-01  0.1203834E+01 -0.3562640E-01  0.7950339E+00 -0.2911931E-01
 0.1200000E-01  0.9992100E+00 -0.3825548E-01  0.1203607E+01 -0.4210076E-01  0.7948129E+00 -0.3441019E-01
 0.1400000E-01  0.9989492E+00 -0.4413643E-01  0.1203344E+01 -0.4857358E-01  0.7945549E+00 -0.3969929E-01
 0.1600000E-01  0.9986516E+00 -0.5001547E-01  0.1203043E+01 -0.5504462E-01  0.7942599E+00 -0.4498633E-01
 0.1800000E-01  0.9983171E+00 -0.5589234E-01  0.1202706E+01 -0.6151364E-01  0.7939280E+00 -0.5027104E-01
 0.2000000E-01  0.9979459E+00 -0.6176679E-01  0.1202333E+01 -0.6798043E-01  0.7935593E+00 -0.5555314E-01
 0.2200000E-01  0.9975378E+00 -0.6763856E-01  0.1201922E+01 -0.7444475E-01  0.7931536E+00 -0.6083236E-01
 0.2400000E-01  0.9970930E+00 -0.7350739E-01  0.1201475E+01 -0.8090638E-01  0.7927110E+00 -0.6610841E-01
 0.2600000E-01  0.9966114E+00 -0.7937305E-01  0.1200991E+01 -0.8736507E-01  0.7922317E+00 -0.7138102E-01
 0.2800000E-01  0.9960931E+00 -0.8523526E-01  0.1200471E+01 -0.9382061E-01  0.7917155E+00 -0.7664991E-01
 0.3000000E-01  0.9955381E+00 -0.9109379E-01  0.1199914E+01 -0.1002728E+00  0.7911625E+00 -0.8191482E-01
 0.3200000E-01  0.9949464E+00 -0.9694838E-01  0.1199320E+01 -0.1067213E+00  0.7905729E+00 -0.8717546E-01
 0.3400000E-01  0.9943181E+00 -0.1027988E+00  0.1198690E+01 -0.1131660E+00  0.7899465E+00 -0.9243156E-01
 0.3600000E-01  0.9936531E+00 -0.1086447E+00  0.1198023E+01 -0.1196066E+00  0.7892834E+00 -0.9768285E-01
 0.3800000E-01  0.9929516E+00 -0.1144860E+00  0.1197320E+01 -0.1260429E+00  0.7885837E+00 -0.1029290E+00
 0.4000000E-01  0.9922136E+00 -0.1203223E+00  0.1196580E+01 -0.1324747E+00  0.7878474E+00 -0.1081699E+00
 0.4200000E-01  0.9914391E+00 -0.1261534E+00  0.1195804E+01 -0.1389018E+00  0.7870746E+00 -0.1134051E+00
 0.4400000E-01  0.9906281E+00 -0.1319791E+00  0.1194991E+01 -0.1453238E+00  0.7862653E+00 -0.1186344E+00
 0.4600000E-01  0.9897808E+00 -0.1377991E+00  0.1194142E+01 -0.1517407E+00  0.7854196E+00 -0.1238575E+00
 0.4800000E-01  0.9888970E+00 -0.1436131E+00  0.1193257E+01 -0.1581521E+00  0.7845375E+00 -0.1290741E+00
 0.5000000E-01  0.9879770E+00 -0.1494209E+00  0.1192335E+01 -0.1645578E+00  0.7836190E+00 -0.1342841E+00
 0.5200000E-01  0.9870207E+00 -0.1552223E+00  0.1191377E+01 -0.1709576E+00  0.7826643E+00 -0.1394870E+00
 0.5400000E-01  0.9860281E+00 -0.1610170E+00  0.1190383E+01 -0.1773514E+00  0.7816733E+00 -0.1446827E+00
 0.5600000E-01  0.9849995E+00 -0.1668048E+00  0.1189353E+01 -0.1837388E+00  0.7806462E+00 -0.1498708E+00
 0.5800000E-01  0.9839347E+00 -0.1725854E+00  0.1188286E+01 -0.1901196E+00  0.7795830E+00 -0.1550511E+00
 0.6000000E-01  0.9828338E+00 -0.1783585E+00  0.1187184E+01 -0.1964937E+00  0.7784838E+00 -0.1602234E+00
 0.6200000E-01  0.9816970E+00 -0.1841240E+00  0.1186045E+01 -0.2028607E+00  0.7773485E+00 -0.1653873E+00
 0.6400000E-01  0.9805243E+00 -0.1898815E+00  0.1184871E+01 -0.2092205E+00  0.7761774E+00 -0.1705426E+00
 0.6600000E-01  0.9793156E+00 -0.1956309E+00  0.1183661E+01 -0.2155728E+00  0.7749705E+00 -0.1756890E+00
 0.6800000E-01  0.9780712E+00 -0.2013719E+00  0.1182415E+01 -0.2219175E+00  0.7737278E+00 -0.1808262E+00
 0.7000000E-01  0.9767911E+00 -0.2071042E+00  0.1181133E+01 -0.2282542E+00  0.7724495E+00 -0.1859541E+00
 0.7200000E-01  0.9754752E+00 -0.2128276E+00  0.1179815E+01 -0.2345829E+00  0.7711355E+00 -0.1910723E+00
 0.7400000E-01  0.9741238E+00 -0.2185418E+00  0.1178462E+01 -0.2409031E+00  0.7697861E+00 -0.1961805E+00
 0.7600000E-01  0.9727369E+00 -0.2242467E+00  0.1177073E+01 -0.2472149E+00  0.7684012E+00 -0.2012786E+00
 0.7800000E-01  0.9713145E+00 -0.2299420E+00  0.1175648E+01 -0.2535178E+00  0.7669809E+00 -0.2063662E+00
 0.8000000E-01  0.9698567E+00 -0.2356274E+00  0.1174188E+01 -0.2598117E+00  0.7655254E+00 -0.2114430E+00
 0.8200000E-01  0.9683636E+00 -0.2413026E+00  0.1172693E+01 -0.2660964E+00  0.7640347E+00 -0.2165089E+00
