 0.1000000E-01 -0.1773206E-02 -0.1719471E-02 -0.1665736E-02 -0.1612001E-02 -0.1558266E-02 -0.1504531E-02 -0.1450796E-02 -0.1397061E-02 -0.1343326E-02 -0.1289591E-02 -0.1235856E-02 -0.1182121E-02 -0.1128386E-02 -0.1074651E-02 -0.1020916E-02 -0.9671808E-03 -0.9134458E-03 -0.8597108E-03 -0.8059758E-03 -0.7522408E-03 -0.6985058E-03 -0.6447708E-03 -0.5910358E-03 -0.5373007E-03 -0.4835657E-03 -0.4298307E-03 -0.3760957E-03 -0.3223607E-03 -0.2686257E-03 -0.2148907E-03 -0.1611557E-03 -0.1074206E-03 -0.5368563E-04  0.4934433E-07  0.5378440E-04  0.1075195E-03  0.1612543E-03  0.2149894E-03  0.2687244E-03  0.3224594E-03
 0.2000000E-01 -0.3546412E-02 -0.3438942E-02 -0.3331472E-02 -0.3224002E-02 -0.3116532E-02 -0.3009062E-02 -0.2901592E-02 -0.2794122E-02 -0.2686652E-02 -0.2579182E-02 -0.2471712E-02 -0.2364242E-02 -0.2256772E-02 -0.2149302E-02 -0.2041832E-02 -0.1934362E-02 -0.1826892E-02 -0.1719422E-02 -0.1611952E-02 -0.1504482E-02 -0.1397012E-02 -0.1289542E-02 -0.1182072E-02 -0.1074601E-02 -0.9671315E-03 -0.8596615E-03 -0.7521915E-03 -0.6447214E-03 -0.5372513E-03 -0.4297813E-03 -0.3223114E-03 -0.2148413E-03 -0.1073713E-03  0.9869024E-07  0.1075688E-03  0.2150389E-03  0.3225087E-03  0.4299788E-03  0.5374489E-03  0.6449188E-03
 0.3000000E-01 -0.5319618E-02 -0.5158413E-02 -0.4997208E-02 -0.4836003E-02 -0.4674798E-02 -0.4513593E-02 -0.4352388E-02 -0.4191183E-02 -0.4029978E-02 -0.3868773E-02 -0.3707568E-02 -0.3546363E-02 -0.3385158E-02 -0.3223953E-02 -0.3062748E-02 -0.2901543E-02 -0.2740338E-02 -0.2579132E-02 -0.2417927E-02 -0.2256722E-02 -0.2095517E-02 -0.1934312E-02 -0.1773107E-02 -0.1611902E-02 -0.1450697E-02 -0.1289492E-02 -0.1128287E-02 -0.9670821E-03 -0.8058770E-03 -0.6446720E-03 -0.4834671E-03 -0.3222619E-03 -0.1610569E-03  0.1480393E-06  0.1613532E-03  0.3225584E-03  0.4837632E-03  0.6449682E-03  0.8061733E-03  0.9673783E-03
 0.4000000E-01 -0.7092829E-02 -0.6877888E-02 -0.6662948E-02 -0.6448008E-02 -0.6233067E-02 -0.6018127E-02 -0.5803187E-02 -0.5588247E-02 -0.5373306E-02 -0.5158366E-02 -0.4943426E-02 -0.4728486E-02 -0.4513545E-02 -0.4298605E-02 -0.4083665E-02 -0.3868724E-02 -0.3653784E-02 -0.3438844E-02 -0.3223904E-02 -0.3008963E-02 -0.2794023E-02 -0.2579083E-02 -0.2364143E-02 -0.2149202E-02 -0.1934262E-02 -0.1719322E-02 -0.1504382E-02 -0.1289441E-02 -0.1074501E-02 -0.8595606E-03 -0.6446205E-03 -0.4296801E-03 -0.2147398E-03  0.2003575E-06  0.2151408E-03  0.4300812E-03  0.6450212E-03  0.8599614E-03  0.1074902E-02  0.1289842E-02
 0.5000000E-01 -0.8866027E-02 -0.8597353E-02 -0.8328678E-02 -0.8060003E-02 -0.7791328E-02 -0.7522653E-02 -0.7253978E-02 -0.6985303E-02 -0.6716628E-02 -0.6447953E-02 -0.6179278E-02 -0.5910603E-02 -0.5641928E-02 -0.5373254E-02 -0.5104579E-02 -0.4835904E-02 -0.4567229E-02 -0.4298554E-02 -0.4029879E-02 -0.3761204E-02 -0.3492529E-02 -0.3223854E-02 -0.2955179E-02 -0.2686504E-02 -0.2417829E-02 -0.2149154E-02 -0.1880480E-02 -0.1611805E-02 -0.1343130E-02 -0.1074455E-02 -0.8057799E-03 -0.5371048E-03 -0.2684299E-03  0.2449721E-06  0.2689200E-03  0.5375950E-03  0.8062697E-03  0.1074945E-02  0.1343620E-02  0.1612295E-02
 0.6000000E-01 -0.1063923E-01 -0.1031682E-01 -0.9994413E-02 -0.9672003E-02 -0.9349594E-02 -0.9027184E-02 -0.8704774E-02 -0.8382364E-02 -0.8059954E-02 -0.7737544E-02 -0.7415134E-02 -0.7092724E-02 -0.6770314E-02 -0.6447904E-02 -0.6125494E-02 -0.5803084E-02 -0.5480675E-02 -0.5158265E-02 -0.4835855E-02 -0.4513445E-02 -0.4191035E-02 -0.3868625E-02 -0.3546215E-02 -0.3223805E-02 -0.2901395E-02 -0.2578985E-02 -0.2256575E-02 -0.1934165E-02 -0.1611755E-02 -0.1289345E-02 -0.9669356E-03 -0.6445256E-03 -0.3221156E-03  0.2941893E-06  0.3227042E-03  0.6451143E-03  0.9675241E-03  0.1289934E-02  0.1612344E-02  0.1934754E-02
 0.7000000E-01 -0.1241243E-01 -0.1203629E-01 -0.1166014E-01 -0.1128400E-01 -0.1090786E-01 -0.1053171E-01 -0.1015557E-01 -0.9779422E-02 -0.9403277E-02 -0.9027132E-02 -0.8650988E-02 -0.8274843E-02 -0.7898698E-02 -0.7522553E-02 -0.7146409E-02 -0.6770264E-02 -0.6394119E-02 -0.6017975E-02 -0.5641830E-02 -0.5265685E-02 -0.4889541E-02 -0.4513396E-02 -0.4137251E-02 -0.3761107E-02 -0.3384962E-02 -0.3008817E-02 -0.2632673E-02 -0.2256528E-02 -0.1880383E-02 -0.1504238E-02 -0.1128094E-02 -0.7519491E-03 -0.3758044E-03  0.3401854E-06  0.3764849E-03  0.7526298E-03  0.1128774E-02  0.1504919E-02  0.1881064E-02  0.2257208E-02
 0.8000000E-01 -0.1418563E-01 -0.1375575E-01 -0.1332587E-01 -0.1289599E-01 -0.1246611E-01 -0.1203623E-01 -0.1160635E-01 -0.1117647E-01 -0.1074659E-01 -0.1031672E-01 -0.9886837E-02 -0.9456958E-02 -0.9027079E-02 -0.8597200E-02 -0.8167321E-02 -0.7737442E-02 -0.7307563E-02 -0.6877684E-02 -0.6447805E-02 -0.6017926E-02 -0.5588047E-02 -0.5158168E-02 -0.4728289E-02 -0.4298410E-02 -0.3868531E-02 -0.3438652E-02 -0.3008773E-02 -0.2578894E-02 -0.2149015E-02 -0.1719136E-02 -0.1289257E-02 -0.8593778E-03 -0.4294988E-03  0.3800974E-06  0.4302591E-03  0.8601384E-03  0.1290017E-02  0.1719896E-02  0.2149775E-02  0.2579654E-02
 0.9000000E-01 -0.1595882E-01 -0.1547520E-01 -0.1499159E-01 -0.1450798E-01 -0.1402436E-01 -0.1354075E-01 -0.1305714E-01 -0.1257353E-01 -0.1208991E-01 -0.1160630E-01 -0.1112269E-01 -0.1063907E-01 -0.1015546E-01 -0.9671846E-02 -0.9188232E-02 -0.8704619E-02 -0.8221006E-02 -0.7737393E-02 -0.7253779E-02 -0.6770166E-02 -0.6286553E-02 -0.5802940E-02 -0.5319326E-02 -0.4835713E-02 -0.4352100E-02 -0.3868487E-02 -0.3384873E-02 -0.2901260E-02 -0.2417647E-02 -0.1934034E-02 -0.1450420E-02 -0.9668072E-03 -0.4831939E-03  0.4192594E-06  0.4840326E-03  0.9676461E-03  0.1451259E-02  0.1934872E-02  0.2418485E-02  0.2902099E-02
 0.1000000E+00 -0.1773202E-01 -0.1719467E-01 -0.1665732E-01 -0.1611998E-01 -0.1558263E-01 -0.1504528E-01 -0.1450793E-01 -0.1397058E-01 -0.1343324E-01 -0.1289589E-01 -0.1235854E-01 -0.1182119E-01 -0.1128384E-01 -0.1074649E-01 -0.1020915E-01 -0.9671799E-02 -0.9134451E-02 -0.8597103E-02 -0.8059755E-02 -0.7522407E-02 -0.6985059E-02 -0.6447711E-02 -0.5910363E-02 -0.5373015E-02 -0.4835667E-02 -0.4298319E-02 -0.3760970E-02 -0.3223622E-02 -0.2686274E-02 -0.2148926E-02 -0.1611578E-02 -0.1074230E-02 -0.5368822E-03  0.4657659E-06  0.5378139E-03  0.1075162E-02  0.1612510E-02  0.2149858E-02  0.2687206E-02  0.3224554E-02
