 0.004  (0.999968524787-0.00242014283133j)  (3.18993492418e-05-0.000312556912415j)  (-0.00011407159161+0.00114960308291j)  (0.000186908138209+0.00478531988182j)  (-0.000222006185646+0.00123689603552j)  (0.000102417837823-0.00370153272604j)  (-0.000118805141879+0.00314006998229j)  (6.11531028317e-05-0.00065178214881j)  (-1.03967798897e-05-0.00135179927369j)  (-3.24481664182e-05+0.00193036736464j)  (0.00015087391119-0.000922768774124j)  (-0.000116476114831-0.000914377631401j) 
 0.008  (0.999937096883-0.00363188780255j)  (6.36847284545e-05-0.000464636774936j)  (-0.000227910935819+0.00171637885132j)  (0.000373584265329+0.00719021311028j)  (-0.000443792421923+0.00182497791063j)  (0.000204770869283-0.00551143816508j)  (-0.000237604752111+0.00466665828827j)  (0.000122329299461-0.000953203103015j)  (-2.07625250896e-05-0.00202341006741j)  (-6.49525860636e-05+0.00286843500137j)  (0.000301628671679-0.00134828645581j)  (-0.000232711851198-0.00140345740714j) 
 0.012  (0.999874584235-0.0048432266283j)  (0.000126146141929-0.000620137242883j)  (-0.000452666733052+0.00228685019464j)  (0.000741608118019+0.00959089573439j)  (-0.000879172254658+0.0024143619075j)  (0.000400141750081-0.00732013141013j)  (-0.000466765235865+0.00619124246092j)  (0.000240177026183-0.00125342027725j)  (-4.25136529363e-05-0.00269498505756j)  (-0.00012276253427+0.00380544246244j)  (0.000593862205965-0.00177277232536j)  (-0.000454457001982-0.00189247690738j) 
 0.016  (0.99981221414-0.00605868897492j)  (0.000188313311061-0.000765447150941j)  (-0.000676722122275+0.00283876248801j)  (0.00110899054624+0.0120176577856j)  (-0.00131365862367+0.00294350987844j)  (0.000595014412651-0.00904981163965j)  (-0.000695502174558+0.00763236426325j)  (0.00035791540022-0.00150675312912j)  (-6.42949222627e-05-0.00335831428279j)  (-0.000180472290989+0.00469143955289j)  (0.000885503176954-0.00212925944909j)  (-0.000675638845069-0.00244160990188j) 
 0.02  (0.999719508166-0.00727419783195j)  (0.000278820873799-0.000915506814526j)  (-0.00100561248578+0.0033949249017j)  (0.00164702032369+0.0144387733385j)  (-0.00194543870533+0.00347400673798j)  (0.000864663565636-0.0107777018338j)  (-0.00101812758645+0.00907109525796j)  (0.000523436664942-0.00175895834008j)  (-9.91384657795e-05-0.00402131107778j)  (-0.000250063183708+0.00557617221197j)  (0.00130071483403-0.00248489834451j)  (-0.000981536978762-0.00299010506148j) 
 0.024  (0.999627083174-0.00849570217593j)  (0.000368802309201-0.00105098640778j)  (-0.00133313731379+0.00392491669307j)  (0.00218389232593+0.0168958939343j)  (-0.00257531126125+0.00391900952206j)  (0.0011331443308-0.0123928076616j)  (-0.00133962346171+0.010389821537j)  (0.000688627199688-0.00194322288123j)  (-0.000134144677501-0.0046733476317j)  (-0.000319295724883+0.00639044228009j)  (0.00171465557591-0.00274528832509j)  (-0.00128663227463-0.0036206219562j) 
 0.028  (0.999505389704-0.00971771447005j)  (0.000483822096063-0.00119252650546j)  (-0.00175685834565+0.00445978975604j)  (0.00287626265943+0.0193457542461j)  (-0.00337932093787+0.00436578022597j)  (0.00145048615623-0.0140059624624j)  (-0.00173147210535+0.0117062337293j)  (0.000888566185052-0.00212670200944j)  (-0.000184011206531-0.00532478770051j)  (-0.000382391299045+0.00720349493995j)  (0.00222748127028-0.00300546631906j)  (-0.00164794946917-0.00424957084933j) 
 0.032  (0.999384151605-0.0109473804934j)  (0.000598054350283-0.00131589091098j)  (-0.00217841089883+0.00496275347853j)  (0.00356695859365+0.0218380563625j)  (-0.00418024171579+0.0047072589933j)  (0.00176595592182-0.015479026641j)  (-0.00212139244137+0.0128720163158j)  (0.00108797482935-0.00222407251791j)  (-0.000234221286124-0.00596384927867j)  (-0.000444921712338+0.00793297500893j)  (0.00273836937996-0.00315036282677j)  (-0.00200854196489-0.0049737268484j) 
 0.036  (0.99923497549-0.0121780298884j)  (0.000733259306952-0.00144659447487j)  (-0.00268547771875+0.00547131614255j)  (0.00439452004529+0.0243212808763j)  (-0.00512673233058+0.00505136734785j)  (0.00209835050937-0.0169504600834j)  (-0.00255246228241+0.0140361133147j)  (0.00130540361923-0.00232132331675j)  (-0.000300527903616-0.00660206836251j)  (-0.000480911748991+0.00866151192089j)  (0.00331898390074-0.00329618237078j)  (-0.00239199887684-0.00569505834678j) 
 0.04  (0.999086456332-0.0134177304059j)  (0.000867411743944-0.00155649543759j)  (-0.00318950554631+0.0059445032389j)  (0.00522001582273+0.0268491556691j)  (-0.00606899255557+0.00527704069422j)  (0.0024283802206-0.0182624269419j)  (-0.00298095242224+0.015026325455j)  (0.00152227071839-0.00231814906956j)  (-0.000367396066595-0.00722764800002j)  (-0.000516333089742+0.00930044708823j)  (0.00389724368597-0.00331497768593j)  (-0.0027753730763-0.0065147590233j) 
