0.004 (1.00001574196+0j) 
0.008 (1.00000014769+0j) 
0.012 (1.00001540746+0j) 
0.016 (1.00000058061+0j) 
0.02 (1.0000148017+0j) 
0.024 (1.00000120943+0j) 
0.028 (1.00001403452+0j) 
0.032 (1.00000191153+0j) 
0.036 (1.00001323408+0j) 
0.04 (1.0000025621+0j) 
0.044 (1.0000125155+0j) 
0.048 (1.0000030637+0j) 
0.052 (1.00001195517+0j) 
0.056 (1.00000336661+0j) 
0.06 (1.00001157711+0j) 
0.064 (1.00000347543+0j) 
0.068 (1.00001135338+0j) 
0.072 (1.00000344213+0j) 
0.076 (1.00001121689+0j) 
0.08 (1.00000334878+0j) 
0.084 (1.00001108164+0j) 
0.088 (1.00000328566+0j) 
0.092 (1.00001086485+0j) 
0.096 (1.00000333028+0j) 
0.1 (1.0000105056+0j) 
0.104 (1.0000035317+0j) 
0.108 (1.00000997668+0j) 
0.112 (1.00000390286+0j) 
0.116 (1.000009288+0j) 
0.12 (1.00000442114+0j) 
0.124 (1.00000848217+0j) 
0.128 (1.00000503595+0j) 
0.132 (1.00000762419+0j) 
0.136 (1.00000568089+0j) 
0.14 (1.00000678818+0j) 
0.144 (1.0000062873+0j) 
0.148 (1.00000604409+0j) 
0.152 (1.0000067965+0j) 
0.156 (1.00000544708+0j) 
0.16 (1.00000716836+0j) 
0.164 (1.00000503106+0j) 
0.168 (1.00000738541+0j) 
0.172 (1.00000480698+0j) 
0.176 (1.00000745229+0j) 
0.18 (1.00000476529+0j) 
0.184 (1.00000739166+0j) 
0.188 (1.00000488129+0j) 
0.192 (1.00000723801+0j) 
0.196 (1.0000051218+0j) 
0.2 (1.00000703086+0j) 
0.204 (1.00000545168+0j) 
0.208 (1.00000680879+0j) 
0.212 (1.00000583913+0j) 
0.216 (1.00000660501+0j) 
0.22 (1.00000625913+0j) 
0.224 (1.00000644484+0j) 
0.228 (1.00000669511+0j) 
0.232 (1.00000634502+0j) 
0.236 (1.00000713878+0j) 
0.24 (1.00000631444+0j) 
0.244 (1.00000758901+0j) 
0.248 (1.00000635573+0j) 
0.252 (1.00000804992+0j) 
0.256 (1.00000646732+0j) 
0.26 (1.00000852887+0j) 
0.264 (1.0000066454+0j) 
0.268 (1.00000903458+0j) 
0.272 (1.00000688569+0j) 
0.276 (1.00000957564+0j) 
0.28 (1.00000718473+0j) 
0.284 (1.00001015946+0j) 
0.288 (1.00000754072+0j) 
0.292 (1.00001079168+0j) 
0.296 (1.00000795393+0j) 
0.3 (1.000011476+0j) 
0.304 (1.00000842681+0j) 
0.308 (1.00001221423+0j) 
0.312 (1.00000896378+0j) 
0.316 (1.00001300661+0j) 
0.32 (1.00000957088+0j) 
0.324 (1.00001385225+0j) 
0.328 (1.00001025539+0j) 
0.332 (1.00001474955+0j) 
0.336 (1.00001102534+0j) 
0.34 (1.00001569672+0j) 
0.344 (1.00001188912+0j) 
0.348 (1.00001669215+0j) 
0.352 (1.00001285511+0j) 
0.356 (1.00001773478+0j) 
0.36 (1.00001393134+0j) 
0.364 (1.00001882435+0j) 
0.368 (1.00001512537+0j) 
0.372 (1.00001996155+0j) 
0.376 (1.00001644411+0j) 
0.38 (1.00002114808+0j) 
0.384 (1.00001789389+0j) 
0.388 (1.00002238655+0j) 
0.392 (1.00001948055+0j) 
0.396 (1.00002368031+0j) 
0.4 (1.00002120965+0j) 
0.404 (1.0000250331+0j) 
0.408 (1.00002308683+0j) 
0.412 (1.00002644872+0j) 
0.416 (1.00002511813+0j) 
0.42 (1.00002793057+0j) 
