 0.004  -0.485308937947  -1.64948414942  -0.925549101773  -0.0576691239941  -1.59823619287  -0.835672970736  -0.935556878692  -0.917309734959  -1.96854121084  -2.72686939735 
 0.008  -0.485290412648  -1.64943285758  -0.925518185602  -0.0576626349206  -1.59818634345  -0.835644584192  -0.935525680845  -0.917279050691  -1.96848093892  -2.72678778174 
 0.012  -0.485259536482  -1.64934737503  -0.925466659688  -0.0576518174757  -1.59810326471  -0.835597273976  -0.935473685509  -0.917227911249  -1.96838049079  -2.72665176374 
 0.016  -0.485216308449  -1.64922770752  -0.925394525587  -0.0576366681758  -1.59798696213  -0.835531041121  -0.9354008943  -0.917156318143  -1.96823987407  -2.72646135536 
 0.02  -0.48516072715  -1.64907386311  -0.925301785477  -0.0576171821442  -1.59783744335  -0.835445887076  -0.935307309476  -0.917064273484  -1.9680590994  -2.72621657342 
 0.024  -0.485092790783  -1.64888585218  -0.925188442159  -0.0575933531112  -1.5976547182  -0.8353418137  -0.935192933943  -0.916951779985  -1.9678381805  -2.72591743955 
 0.028  -0.485012497147  -1.64866368739  -0.925054499054  -0.0575651734145  -1.59743879869  -0.835218823269  -0.935057771249  -0.916818840963  -1.96757713411  -2.72556398018 
 0.032  -0.484919843642  -1.6484073837  -0.924899960206  -0.0575326339999  -1.59718969902  -0.835076918468  -0.93490182559  -0.916665460337  -1.96727598  -2.72515622653 
 0.036  -0.484814827268  -1.64811695839  -0.924724830279  -0.0574957244211  -1.59690743556  -0.834916102398  -0.934725101803  -0.916491642628  -1.96693474101  -2.72469421463 
 0.04  -0.484697444623  -1.64779243102  -0.924529114556  -0.0574544328407  -1.59659202687  -0.834736378569  -0.934527605371  -0.916297392957  -1.96655344299  -2.7241779853 
 0.044  -0.484567691906  -1.64743382346  -0.924312818942  -0.0574087460308  -1.59624349369  -0.834537750904  -0.934309342417  -0.916082717047  -1.96613211483  -2.72360758416 
 0.048  -0.484425564918  -1.64704115985  -0.92407594996  -0.0573586493737  -1.59586185892  -0.834320223737  -0.934070319709  -0.91584762122  -1.96567078848  -2.7229830616 
 0.052  -0.484271059056  -1.64661446666  -0.923818514751  -0.0573041268623  -1.59544714764  -0.834083801812  -0.933810544655  -0.915592112398  -1.96516949888  -2.72230447281 
 0.056  -0.48410416932  -1.64615377263  -0.923540521075  -0.0572451611014  -1.59499938711  -0.833828490283  -0.933530025303  -0.9153161981  -1.96462828403  -2.72157187776 
 0.06  -0.483924890309  -1.64565910877  -0.923241977306  -0.0571817333083  -1.59451860676  -0.833554294713  -0.933228770344  -0.915019886445  -1.96404718493  -2.72078534119 
 0.064  -0.483733216223  -1.64513050842  -0.922922892436  -0.0571138233139  -1.59400483817  -0.833261221073  -0.932906789103  -0.914703186146  -1.96342624564  -2.71994493262 
 0.068  -0.483529140861  -1.64456800716  -0.922583276071  -0.0570414095635  -1.59345811512  -0.832949275743  -0.932564091547  -0.914366106515  -1.96276551319  -2.71905072633 
 0.072  -0.483312657623  -1.64397164287  -0.922223138431  -0.0569644691183  -1.59287847351  -0.832618465509  -0.932200688277  -0.914008657456  -1.96206503766  -2.71810280136 
 0.076  -0.483083759509  -1.64334145572  -0.921842490348  -0.0568829776563  -1.59226595143  -0.832268797562  -0.931816590532  -0.913630849467  -1.96132487213  -2.71710124151 
 0.08  -0.482842439119  -1.64267748813  -0.921441343265  -0.0567969094734  -1.59162058912  -0.831900279498  -0.931411810183  -0.91323269364  -1.96054507268  -2.71604613532 
 0.084  -0.482588688654  -1.64197978479  -0.921019709237  -0.0567062374853  -1.59094242896  -0.831512919319  -0.930986359735  -0.912814201657  -1.95972569841  -2.71493757607 
 0.088  -0.482322499914  -1.64124839269  -0.920577600925  -0.0566109332281  -1.5902315155  -0.831106725429  -0.930540252325  -0.912375385789  -1.95886681139  -2.7137756618 
 0.092  -0.4820438643  -1.64048336105  -0.9201150316  -0.0565109668604  -1.58948789541  -0.830681706631  -0.93007350172  -0.911916258897  -1.95796847672  -2.71256049525 
 0.096  -0.481752772815  -1.63968474136  -0.919632015137  -0.0564063071644  -1.58871161753  -0.830237872133  -0.929586122315  -0.911436834428  -1.95703076245  -2.71129218388 
 0.1  -0.481449216059  -1.63885258736  -0.919128566017  -0.0562969215476  -1.58790273282  -0.829775231538  -0.929078129133  -0.910937126417  -1.95605373963  -2.70997083988 
 0.104  -0.481133184236  -1.63798695505  -0.918604699321  -0.0561827760446  -1.58706129438  -0.829293794852  -0.928549537822  -0.910417149479  -1.95503748231  -2.70859658014 
 0.108  -0.480804667149  -1.63708790268  -0.918060430734  -0.0560638353186  -1.58618735744  -0.828793572473  -0.928000364656  -0.909876918815  -1.95398206746  -2.70716952623 
 0.112  -0.480463654202  -1.63615549072  -0.917495776538  -0.0559400626633  -1.58528097936  -0.828274575199  -0.927430626527  -0.909316450204  -1.95288757506  -2.70568980441 
 0.116  -0.480110134399  -1.6351897819  -0.916910753616  -0.0558114200047  -1.58434221961  -0.827736814217  -0.926840340951  -0.908735760005  -1.95175408804  -2.70415754563 
 0.12  -0.479744096345  -1.63419084117  -0.916305379442  -0.0556778679029  -1.58337113978  -0.827180301111  -0.926229526059  -0.908134865155  -1.95058169226  -2.7025728855 
 0.124  -0.479365528247  -1.63315873571  -0.915679672088  -0.0555393655544  -1.58236780357  -0.826605047855  -0.925598200602  -0.907513783165  -1.94937047655  -2.70093596429 
 0.128  -0.47897441791  -1.63209353492  -0.915033650216  -0.0553958707936  -1.58133227681  -0.82601106681  -0.924946383943  -0.906872532119  -1.94812053268  -2.6992469269 
