 0.1000000E-02 -0.1164798E+01 -0.4587786E+00  0.2430154E+00  0.9459180E+00  0.1648668E+01  0.2351356E+01  0.3054099E+01  0.3756817E+01  0.4459561E+01  0.5162256E+01
 0.2000000E-02 -0.1169145E+01 -0.4573606E+00  0.2427103E+00  0.9459383E+00  0.1648730E+01  0.2351339E+01  0.3054112E+01  0.3756809E+01  0.4459583E+01  0.5162214E+01
 0.3000000E-02 -0.1174434E+01 -0.4555326E+00  0.2423085E+00  0.9459675E+00  0.1648819E+01  0.2351318E+01  0.3054130E+01  0.3756799E+01  0.4459613E+01  0.5162159E+01
 0.4000000E-02 -0.1179897E+01 -0.4535174E+00  0.2418686E+00  0.9460034E+00  0.1648932E+01  0.2351294E+01  0.3054149E+01  0.3756789E+01  0.4459647E+01  0.5162101E+01
 0.5000000E-02 -0.1185108E+01 -0.4514656E+00  0.2414524E+00  0.9460418E+00  0.1649061E+01  0.2351272E+01  0.3054169E+01  0.3756783E+01  0.4459680E+01  0.5162054E+01
 0.6000000E-02 -0.1189937E+01 -0.4494617E+00  0.2411134E+00  0.9460743E+00  0.1649202E+01  0.2351260E+01  0.3054183E+01  0.3756784E+01  0.4459706E+01  0.5162037E+01
 0.7000000E-02 -0.1194388E+01 -0.4475462E+00  0.2408891E+00  0.9460868E+00  0.1649350E+01  0.2351264E+01  0.3054189E+01  0.3756797E+01  0.4459717E+01  0.5162070E+01
 0.8000000E-02 -0.1198494E+01 -0.4457316E+00  0.2407956E+00  0.9460613E+00  0.1649505E+01  0.2351292E+01  0.3054181E+01  0.3756827E+01  0.4459706E+01  0.5162177E+01
 0.9000000E-02 -0.1202268E+01 -0.4440123E+00  0.2408231E+00  0.9459857E+00  0.1649674E+01  0.2351350E+01  0.3054155E+01  0.3756879E+01  0.4459665E+01  0.5162379E+01
 0.1000000E-01 -0.1205697E+01 -0.4423698E+00  0.2409258E+00  0.9458795E+00  0.1649869E+01  0.2351446E+01  0.3054109E+01  0.3756957E+01  0.4459590E+01  0.5162698E+01
 0.1100000E-01 -0.1208751E+01 -0.4407769E+00  0.2410037E+00  0.9458326E+00  0.1650113E+01  0.2351582E+01  0.3054039E+01  0.3757064E+01  0.4459475E+01  0.5163150E+01
 0.1200000E-01 -0.1211397E+01 -0.4392061E+00  0.2408750E+00  0.9460305E+00  0.1650442E+01  0.2351759E+01  0.3053946E+01  0.3757200E+01  0.4459322E+01  0.5163744E+01
 0.1300000E-01 -0.1213615E+01 -0.4376434E+00  0.2402457E+00  0.9466151E+00  0.1650908E+01  0.2351970E+01  0.3053835E+01  0.3757362E+01  0.4459137E+01  0.5164465E+01
