 0.1000000E-02 -0.2520265E+01  0.7706502E+00 -0.1636983E+00  0.1053018E-01  0.3178984E-01 -0.8565393E-02  0.6688790E-02 -0.4149226E-02  0.1151196E-01 -0.2209224E-01
 0.2000000E-02 -0.4347481E+01  0.1418037E+01 -0.3050995E+00  0.2033025E-01  0.6225464E-01 -0.1625599E-01  0.1278408E-01 -0.7723058E-02  0.2199905E-01 -0.4160124E-01
 0.3000000E-02 -0.5288742E+01  0.1828037E+01 -0.4018229E+00  0.2914559E-01  0.8962042E-01 -0.2184992E-01  0.1748253E-01 -0.9900779E-02  0.3008452E-01 -0.5489017E-01
 0.4000000E-02 -0.5463148E+01  0.2015184E+01 -0.4398391E+00  0.3593777E-01  0.1123069E+00 -0.2398190E-01  0.1991571E-01 -0.9782334E-02  0.3431520E-01 -0.5798746E-01
 0.5000000E-02 -0.5211168E+01  0.2051770E+01 -0.4161861E+00  0.3839987E-01  0.1292949E+00 -0.2120713E-01  0.1920402E-01 -0.6431506E-02  0.3325492E-01 -0.4674029E-01
 0.6000000E-02 -0.4828218E+01  0.2003867E+01 -0.3389853E+00  0.3247090E-01  0.1406647E+00 -0.1218859E-01  0.1458178E-01  0.1006011E-02  0.2568530E-01 -0.1727855E-01
 0.7000000E-02 -0.4451024E+01  0.1915580E+01 -0.2243951E+00  0.1255141E-01  0.1481531E+00  0.4024173E-02  0.5560556E-02  0.1313682E-01  0.1084996E-01  0.3332122E-01
 0.8000000E-02 -0.4105876E+01  0.1814584E+01 -0.9348110E-01 -0.2552033E-01  0.1555007E+00  0.2774763E-01 -0.7947852E-02  0.3018489E-01 -0.1138371E-01  0.1065024E+00
 0.9000000E-02 -0.3774206E+01  0.1719254E+01  0.2753428E-01 -0.7558753E-01  0.1684936E+00  0.5857902E-01 -0.2560572E-01  0.5195682E-01 -0.4051713E-01  0.2021338E+00
 0.1000000E-01 -0.3429438E+01  0.1642571E+01  0.1026660E+00 -0.1062162E+00  0.1948484E+00  0.9541514E-01 -0.4665790E-01  0.7785384E-01 -0.7544111E-01  0.3186279E+00
 0.1100000E-01 -0.3053988E+01  0.1592848E+01  0.7795977E-01 -0.4688695E-01  0.2442757E+00  0.1362338E+00 -0.6978825E-01  0.1067168E+00 -0.1141777E+00  0.4522412E+00
 0.1200000E-01 -0.2645837E+01  0.1570777E+01 -0.1287102E+00  0.1978823E+00  0.3291749E+00  0.1771451E+00 -0.9264763E-01  0.1362265E+00 -0.1530615E+00  0.5938768E+00
 0.1300000E-01 -0.2217635E+01  0.1562768E+01 -0.6293520E+00  0.5846517E+00  0.4662054E+00  0.2104250E+00 -0.1111588E+00  0.1617327E+00 -0.1854880E+00  0.7213686E+00
 0.1400000E-01 -0.1795151E+01  0.1538517E+01 -0.1504911E+01  0.7544764E+00  0.6783378E+00  0.2239388E+00 -0.1202348E+00  0.1760210E+00 -0.2027013E+00  0.7917118E+00
 0.1500000E-01 -0.1411752E+01  0.1471136E+01 -0.2625377E+01  0.5875865E+00  0.1003566E+01  0.2120996E+00 -0.1205690E+00  0.1760436E+00 -0.2039322E+00  0.7662456E+00
 0.1600000E-01 -0.1090317E+01  0.1356155E+01 -0.3495198E+01  0.2827912E+00  0.1492101E+01  0.2040728E+00 -0.1355493E+00  0.1807834E+00 -0.2229690E+00  0.6998045E+00
 0.1700000E-01 -0.8409037E+00  0.1175095E+01 -0.3462208E+01 -0.8451057E-01  0.1520710E+01  0.2883278E+00 -0.2516263E+00  0.2547397E+00 -0.3987452E+00  0.8160650E+00
