 0.1000000E+00  0.7558485E-01  0.5566663E-01  0.3994337E-01  0.2770254E-01  0.1834887E-01  0.1138537E-01  0.6397353E-02  0.3039070E-02  0.1022473E-02  0.1078036E-03  0.9568966E-04  0.8205288E-03  0.2144936E-02  0.3955092E-02  0.6156849E-02  0.8672463E-02  0.1143786E-01  0.1440037E-01  0.1751677E-01  0.2075172E-01
 0.2000000E+00  0.1511675E+00  0.1113319E+00  0.7988599E-01  0.5540466E-01  0.3669752E-01  0.2277062E-01  0.1279465E-01  0.6078110E-02  0.2044931E-02  0.2155983E-03  0.1913757E-03  0.1641060E-02  0.4289883E-02  0.7910207E-02  0.1231373E-01  0.1734498E-01  0.2287580E-01  0.2880083E-01  0.3503365E-01  0.4150357E-01
 0.3000000E+00  0.2267457E+00  0.1669946E+00  0.1198271E+00  0.8310594E-01  0.5504572E-01  0.3415565E-01  0.1919183E-01  0.9117092E-02  0.3067357E-02  0.3233750E-03  0.2870543E-03  0.2461597E-02  0.6434852E-02  0.1186536E-01  0.1847069E-01  0.2601760E-01  0.3431387E-01  0.4320146E-01  0.5255074E-01  0.6225569E-01
 0.4000000E+00  0.3023173E+00  0.2226534E+00  0.1597659E+00  0.1108060E+00  0.7339324E-01  0.4554032E-01  0.2558883E-01  0.1215598E-01  0.4089734E-02  0.4311249E-03  0.3827219E-03  0.3282141E-02  0.8579853E-02  0.1582059E-01  0.2462775E-01  0.3469037E-01  0.4575215E-01  0.5760237E-01  0.7006816E-01  0.8300819E-01
 0.5000000E+00  0.3778800E+00  0.2783069E+00  0.1997018E+00  0.1385043E+00  0.9173987E-01  0.5692454E-01  0.3198560E-01  0.1519476E-01  0.5112048E-02  0.5388389E-03  0.4783748E-03  0.4102695E-02  0.1072490E-01  0.1977590E-01  0.3078496E-01  0.4336335E-01  0.5719071E-01  0.7200362E-01  0.8758602E-01  0.1037612E+00
 0.6000000E+00  0.4534318E+00  0.3339539E+00  0.2396338E+00  0.1662006E+00  0.1100854E+00  0.6830817E-01  0.3838208E-01  0.1823339E-01  0.6134282E-02  0.6465081E-03  0.5740094E-03  0.4923262E-02  0.1287000E-01  0.2373132E-01  0.3694234E-01  0.5203658E-01  0.6862961E-01  0.8640532E-01  0.1051044E+00  0.1245149E+00
 0.7000000E+00  0.5289702E+00  0.3895931E+00  0.2795614E+00  0.1938943E+00  0.1284295E+00  0.7969111E-01  0.4477822E-01  0.2127184E-01  0.7156421E-02  0.7541235E-03  0.6696219E-03  0.5743845E-02  0.1501517E-01  0.2768688E-01  0.4309994E-01  0.6071013E-01  0.8006894E-01  0.1008076E+00  0.1226235E+00  0.1452693E+00
 0.8000000E+00  0.6044932E+00  0.4452230E+00  0.3194837E+00  0.2215851E+00  0.1467721E+00  0.9107324E-01  0.5117394E-01  0.2431008E-01  0.8178448E-02  0.8616762E-03  0.7652087E-03  0.6564445E-02  0.1716041E-01  0.3164259E-01  0.4925779E-01  0.6938404E-01  0.9150874E-01  0.1152104E+00  0.1401433E+00  0.1660247E+00
 0.9000000E+00  0.6799986E+00  0.5008425E+00  0.3593999E+00  0.2492726E+00  0.1651129E+00  0.1024544E+00  0.5756920E-01  0.2734809E-01  0.9200347E-02  0.9691573E-03  0.8607661E-03  0.7385066E-02  0.1930574E-01  0.3559847E-01  0.5541592E-01  0.7805836E-01  0.1029491E+00  0.1296140E+00  0.1576640E+00  0.1867811E+00
 0.1000000E+01  0.7554841E+00  0.5564503E+00  0.3993094E+00  0.2769562E+00  0.1834517E+00  0.1138346E+00  0.6396394E-01  0.3038583E-01  0.1022210E-01  0.1076558E-02  0.9562904E-03  0.8205709E-02  0.2145117E-01  0.3955456E-01  0.6157437E-01  0.8673314E-01  0.1143901E+00  0.1440183E+00  0.1751857E+00  0.2075387E+00
