-0.1946476E-11 -0.6193563E-14 -0.3295877E-11
 0.3984189E-13  0.5795317E-15 -0.5933573E-14
 0.1507771E-13 -0.3316702E-15  0.2784429E-14
-0.2259154E-11 -0.8950175E-15  0.3232197E-11
