 0.4554286E+00  0.1743167E-03  0.1743167E-03  0.0000000E+00
 0.5759098E+00  0.3199164E-03  0.3199164E-03  0.0000000E+00
 0.6963910E+00  0.2098629E-02  0.2098629E-02  0.0000000E+00
 0.8168722E+00  0.5993968E-02  0.5993968E-02  0.0000000E+00
 0.9373534E+00  0.1793028E-01  0.1793028E-01  0.0000000E+00
 0.1057835E+01  0.4150074E-01  0.4150074E-01  0.0000000E+00
 0.1178316E+01  0.8352166E-01  0.8352166E-01  0.0000000E+00
 0.1298797E+01  0.1395297E+00  0.1395297E+00  0.0000000E+00
 0.1419278E+01  0.1973716E+00  0.1973716E+00  0.0000000E+00
 0.1539759E+01  0.2343455E+00  0.2343455E+00  0.0000000E+00
 0.1660241E+01  0.2343455E+00  0.2343455E+00  0.0000000E+00
 0.1780722E+01  0.1973716E+00  0.1973716E+00  0.0000000E+00
 0.1901203E+01  0.1395297E+00  0.1395297E+00  0.0000000E+00
 0.2021684E+01  0.8352166E-01  0.8352166E-01  0.0000000E+00
 0.2142165E+01  0.4150074E-01  0.4150074E-01  0.0000000E+00
 0.2262647E+01  0.1793028E-01  0.1793028E-01  0.0000000E+00
 0.2383128E+01  0.5993968E-02  0.5993968E-02  0.0000000E+00
 0.2503609E+01  0.2098629E-02  0.2098629E-02  0.0000000E+00
 0.2624090E+01  0.3199164E-03  0.3199164E-03  0.0000000E+00
 0.2744571E+01  0.1743167E-03  0.1743167E-03  0.0000000E+00
