 0.1900000E-01 -0.4150679E-01 -0.4621960E-01 -0.4850542E-01 -0.4937880E-01 -0.4963520E-01 -0.4968621E-01 -0.4968496E-01 -0.4967444E-01 -0.4966848E-01 -0.4969098E-01 -0.4981452E-01 -0.5020310E-01 -0.5109218E-01 -0.5260393E-01
 0.2000000E-01 -0.4362599E-01 -0.4857365E-01 -0.5097425E-01 -0.5189005E-01 -0.5215627E-01 -0.5220606E-01 -0.5220084E-01 -0.5218601E-01 -0.5217613E-01 -0.5219631E-01 -0.5232266E-01 -0.5272670E-01 -0.5365406E-01 -0.5523102E-01
 0.2100000E-01 -0.4585896E-01 -0.5105791E-01 -0.5358311E-01 -0.5454710E-01 -0.5482700E-01 -0.5487860E-01 -0.5487200E-01 -0.5485504E-01 -0.5484309E-01 -0.5486251E-01 -0.5499311E-01 -0.5541448E-01 -0.5638312E-01 -0.5802973E-01
 0.2200000E-01 -0.4794062E-01 -0.5336969E-01 -0.5600828E-01 -0.5701450E-01 -0.5730430E-01 -0.5735479E-01 -0.5734435E-01 -0.5732327E-01 -0.5730765E-01 -0.5732504E-01 -0.5745868E-01 -0.5789540E-01 -0.5890130E-01 -0.6061063E-01
 0.2300000E-01 -0.5012852E-01 -0.5580206E-01 -0.5856204E-01 -0.5961453E-01 -0.5991632E-01 -0.5996685E-01 -0.5995319E-01 -0.5992809E-01 -0.5990842E-01 -0.5992296E-01 -0.6005852E-01 -0.6050954E-01 -0.6155210E-01 -0.6332396E-01
 0.2400000E-01 -0.5217050E-01 -0.5806926E-01 -0.6094123E-01 -0.6203583E-01 -0.6234764E-01 -0.6239720E-01 -0.6237990E-01 -0.6235089E-01 -0.6232782E-01 -0.6234065E-01 -0.6247950E-01 -0.6294576E-01 -0.6402453E-01 -0.6585651E-01
 0.2500000E-01 -0.5430729E-01 -0.6044286E-01 -0.6343256E-01 -0.6457124E-01 -0.6489310E-01 -0.6494072E-01 -0.6491813E-01 -0.6488298E-01 -0.6485366E-01 -0.6486135E-01 -0.6499958E-01 -0.6547685E-01 -0.6658733E-01 -0.6847422E-01
 0.2600000E-01 -0.5630735E-01 -0.6266305E-01 -0.6576332E-01 -0.6694399E-01 -0.6727599E-01 -0.6732279E-01 -0.6729671E-01 -0.6725785E-01 -0.6722538E-01 -0.6723161E-01 -0.6737332E-01 -0.6786564E-01 -0.6901114E-01 -0.7095535E-01
 0.2700000E-01 -0.5838733E-01 -0.6497145E-01 -0.6818537E-01 -0.6940769E-01 -0.6974763E-01 -0.6979033E-01 -0.6975674E-01 -0.6970945E-01 -0.6966841E-01 -0.6966708E-01 -0.6980548E-01 -0.7030540E-01 -0.7147744E-01 -0.7346867E-01
 0.2800000E-01 -0.6034319E-01 -0.6714209E-01 -0.7046507E-01 -0.7172922E-01 -0.7207940E-01 -0.7212135E-01 -0.7208435E-01 -0.7203347E-01 -0.7198940E-01 -0.7198676E-01 -0.7212869E-01 -0.7264331E-01 -0.7384896E-01 -0.7589436E-01
 0.2900000E-01 -0.6236113E-01 -0.6937940E-01 -0.7281164E-01 -0.7411484E-01 -0.7447071E-01 -0.7450631E-01 -0.7445948E-01 -0.7439782E-01 -0.7434277E-01 -0.7433009E-01 -0.7446601E-01 -0.7498477E-01 -0.7621176E-01 -0.7829619E-01
 0.3000000E-01 -0.6427046E-01 -0.7149790E-01 -0.7503753E-01 -0.7638233E-01 -0.7674844E-01 -0.7678326E-01 -0.7673298E-01 -0.7666769E-01 -0.7660959E-01 -0.7659555E-01 -0.7673484E-01 -0.7726770E-01 -0.7852660E-01 -0.8066162E-01
