 0.2400000E+02  0.4136872E+02 -0.3981230E+01  0.1497490E+02  0.5236239E+02
 0.2440000E+02  0.4145213E+02 -0.3981187E+01  0.1497658E+02  0.5244752E+02
 0.2480000E+02  0.4152295E+02 -0.3981142E+01  0.1497827E+02  0.5252008E+02
 0.2520000E+02  0.4158178E+02 -0.3981096E+01  0.1497999E+02  0.5258067E+02
 0.2560000E+02  0.4162921E+02 -0.3981048E+01  0.1498170E+02  0.5262987E+02
 0.2600000E+02  0.4166580E+02 -0.3980998E+01  0.1498344E+02  0.5266824E+02
 0.2640000E+02  0.4169207E+02 -0.3980947E+01  0.1498520E+02  0.5269632E+02
 0.2680000E+02  0.4170853E+02 -0.3980894E+01  0.1498696E+02  0.5271460E+02
 0.2720000E+02  0.4171567E+02 -0.3980839E+01  0.1498873E+02  0.5272356E+02
 0.2760000E+02  0.4171394E+02 -0.3980782E+01  0.1499051E+02  0.5272367E+02
 0.2800000E+02  0.4170379E+02 -0.3980724E+01  0.1499230E+02  0.5271537E+02
 0.2840000E+02  0.4168564E+02 -0.3980665E+01  0.1499411E+02  0.5269908E+02
 0.2880000E+02  0.4165988E+02 -0.3980604E+01  0.1499592E+02  0.5267520E+02
 0.2920000E+02  0.4162690E+02 -0.3980541E+01  0.1499773E+02  0.5264410E+02
 0.2960000E+02  0.4158707E+02 -0.3980477E+01  0.1499955E+02  0.5260614E+02
 0.3000000E+02  0.4154071E+02 -0.3980411E+01  0.1500138E+02  0.5256168E+02
 0.3040000E+02  0.4148818E+02 -0.3980344E+01  0.1500322E+02  0.5251106E+02
 0.3080000E+02  0.4142978E+02 -0.3980275E+01  0.1500504E+02  0.5245455E+02
 0.3120000E+02  0.4136581E+02 -0.3980205E+01  0.1500686E+02  0.5239246E+02
 0.3160000E+02  0.4129656E+02 -0.3980134E+01  0.1500871E+02  0.5232513E+02
 0.3200000E+02  0.4122229E+02 -0.3980061E+01  0.1501055E+02  0.5225278E+02
 0.3240000E+02  0.4114328E+02 -0.3979987E+01  0.1501237E+02  0.5217567E+02
