-0.3941447E-11 -0.1311206E-13 -0.3873034E-11
 0.5192990E-15  0.5343605E-16 -0.1258006E-13
-0.2519162E-16 -0.6570733E-16  0.2195429E-14
-0.7199579E-11 -0.2227759E-15  0.7124528E-11
